priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,657500000,561900000,552800000,-104700000,-16,-9100000
mechanical,294800000,328700000,313900000,19100000,6,-14800000
operations,48700000,14100000,12800000,-35900000,-74,-1300000
totalOperations,1001000000,904700000,879500000,-121500000,-12,-25100000
it,96700000,92700000,92400000,-4300000,-4,-300000
commericalMarketing,1300000,1600000,600000,-700000,-52,-1000000
adaStations,156900000,179800000,173500000,16600000.000000002,11,-6200000
safety,15900000,26900000,16600000.000000002,700000,4,-10200000
procurement,5000000,4000000,4300000,-600000,-13,300000
acela21,21000000,-43000000,383000000,218000000,-165,218000000
planningAssetDevelopment,71200000,472700000,487300000,416100000,584,14600000
intercityTrainsets,100000,142000000,138500000,138400000,0,-3400000
otherOvhdAdjustment,-500000,3900000,3900000,4400000,904,0
totalCapitalSpend,1730600000,2059400000,2014800000,284200000,16,-44700000
