priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,1196000000,744600000,750700000,-445200000
foodBeverage,30000000,17700000,20000000,-9900000
stateSupportedTrainRevenue,309400000,324500000,326000000,16600000.000000002
subtotalPassengerRelatedRevenue,1535300000,1086700000,1096800000,-438600000
otherCoreRevenue,279500000,276500000,276600000,-3000000
ancillaryRevenue,318500000,320100000,318800000,300000
totalRevenue,2133400000,1683400000,1692200000,-441200000
salaries,278000000,309900000,310000000,32000000
wagesOvertime,965100000,905100000,904500000,-60600000
employeeBenefits,516700000.00000006,491500000,488300000,-28400000
employeeRelated,20500000,19700000,19600000,-800000
salariesWagesBenefits,1780200000,1726100000,1722400000,-57800000
trainOperations,256200000,196300000,194700000,-61500000
fuelPowerUtilities,201800000,166900000,166900000,-34800000
materials,132900000,106300000,102600000,-30400000
facilityCommunicationOffice,153200000,155100000,156000000,2800000
advertisingAndSales,51400000,48100000,48400000,-3000000
casualtyAndOtherClaims,56800000,64400000.00000001,64099999.99999999,7300000
professionalFeesDataProcessing,186100000,175400000,173200000,-12900000
allOtherExpense,115700000,174200000,175100000,59300000
transferToCapitalAncillary,-157700000,-157500000,-158200000,-500000
totalExpense,2776600000,2655200000,2645100000,-131500000
adjustedOperatingEarnings,-643300000,-971900000,-952900000,-309700000
opebSAndPension,26300000,31700000,31700000,5500000
projectRelatedRevenueExpense,-136200000,-121900000,-128900000,7400000
depreciation,-849400000,-843200000,-829600000,19800000
officeOfInspectorGeneral,-20200000,-21500000,-21400000,-1200000
stateCapitalPaymentAmortization,121300000,126600000,127500000,6200000
nonOperatingIncOr,50200000,-21700000,-21700000,-71900000
netIncomeOr,-1451300000,-1821900000,-1795300000,-344000000
