priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,165300000,245100000,124900000,-40400000,-24,-120200000
mechanical,64900000.00000001,104900000,69400000,4500000,7,-35500000
operations,3600000,10100000,5200000,1600000,44,-5000000
totalOperations,233800000,360100000,199400000,-34300000,-15,-160700000
it,19500000,33400000,25000000,5500000,28,-8400000
commericalMarketing,300000,1600000,100000,-200000,-76,-1500000
ada,27000000,38100000,21800000,-5200000,-19,-16200000
realEstateStationsFacilities,28300000,42300000,40600000,12300000,44,-1700000
apdEmergencyManagement,800000,3600000,1400000,500000,64,-2300000
safety,200000,3400000,1500000,1300000,684,-1900000
enviromental,1800000,3600000,2100000,300000,19,-1500000
procurement,500000,1900000,300000,-200000,-37,-1600000
newAcela,29600000,85200000,41000000,11400000,39,-44200000
gateway,4000000,133400000,7100000,3100000,79,-126300000
planningStrategy,10600000,25600000,22100000,11500000,109,-3500000
bPTunnel,300000,7400000,5500000,5200000,0,-1900000
intercityTrainsets,0,96600000,90400000,90400000,0,-6300000
otherOvhdAdjustment,-700000,300000,1000000,1700000,250,700000
totalCapitalSpend,355900000,836600000,459300000,103400000,29,-377300000
