priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,576000,2167000,2185000,1609000,279000,18000
stateSupported,853000,2453000,2433000,1581000,185000,-19000
longDistance,361000,859000,912000,551000,153000,53000
totalRidership,1790000,5478000,5530000,3740000,209000,52000
rasm,12590,17290,19480,7000,55000,2180
casm,25660,22410,24210,-1000,-6000,-1810
costRecoveryRatio,49000,77200,80400,,,3300
customerSatisfactionIndex,84100,81100,81500,,,500
seatMiles,1839400,2903000,2700200,861000,47000,-202700
passengerMiles,428600,1141800,1193900,765000,179000,52100
trainMiles,5500,9000,8800,3000,59000,-200
