priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,120000000,393100000,428900000,309000000
foodBeverage,2500000,10800000,9900000,7400000
stateSupportedTrainRevenue,98800000,86800000,69200000,-29600000
subtotalPassengerRelatedRevenue,221400000,490700000,508000000,286700000
otherCoreRevenue,67700000,71100000,79600000,11900000
ancillaryRevenue,84300000,89400000,85000000,700000
totalRevenue,373400000,651200000,672700000,299200000
salaries,81700000,94100000,98100000,16399999.999999998
wagesOvertime,243000000,298400000,288200000,45200000
employeeBenefits,103400000,130500000,129900000,26500000
employeeRelated,4500000,10200000,8400000,3900000
salariesWagesBenefits,432600000,533299999.99999994,524600000,92000000
trainOperations,49100000,73000000,72100000,23000000
fuelPowerUtilities,37400000,65200000,63100000,25700000
materials,25500000,35900000,32799999.999999996,7300000
facilityCommunicationOffice,36800000,53600000,45000000,8199999.999999999
advertisingAndSales,8000000,21100000,19900000,11900000
casualtyAndOtherClaims,12000000,16399999.999999998,5800000,-6200000
professionalFeesDataProcessing,41000000,52900000,44600000,3700000
allOtherExpense,42300000,41900000,54700000,12300000
transferToCapitalAncillary,-36800000,-44200000,-38700000,-1900000
totalExpense,647800000,849200000,823800000,176000000
adjustedOperatingEarnings,-274300000,-198000000,-151100000,123200000
opebSAndPension,9500000,9400000,8100000,-1400000
projectRelatedRevenueExpense,-32400000,-16100000.000000002,-32400000,0
depreciation,-237800000,-240800000,-224800000,13000000
officeOfInspectorGeneral,-5500000,-6000000,-6000000,-500000
stateCapitalPaymentAmortization,33500000,34400000,35100000,1600000
nonOperatingIncOr,-5500000,-3000000,-6900000,-1500000
netIncomeOr,-512500000,-420000000,-378100000,134400000
