operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela.,76700000,74600000,2100000,478400,159400000,95500000,,,46000000
regional,151900000,132300000.00000001,19600000,1706400,533400000,307300000,,,54000000
necSpecialTrainsAdjustments,1300000,1900000,-600000,0,900000,0,,,0
nec,229900000,208800000,21100000,2184900,693700000,402800000,,,52000000
ethanAllenExpress,700000,1400000,-700000,12600,5600000,700000,,,12000000
vermonter,2100000,2200000,-100000,23500,13600000,2700000,,,19000000
mapleLeaf,5100000,9200000,-4099999.9999999995,95000,59000000,18000000,,,32000000
theDowneaster,4099999.9999999995,4300000,-200000,99100,37600000,8400000,,,22000000
newHavenSpringfield,0,4800000,8000000,-3200,86200000,25000000,,,5000000
keystoneService,7100000,15900000,-8800000,199200,55800000,13700000,,,22000000
empireService,16600000.000000002,17300000,-700000,264800,74300000,42300000,,,53000000
chicagoStLouis,8600000,8600000,0,112500,56300000,20800000,,,36000000
hiawathas,5900000,5100000,700000,116200,22100000,9300000,,,32000000
wolverines,8000000,8800000,-800000,86000,43400000,18800000,,,42000000
illini,5500000,4400000,1100000,75600,50600000,12200000,,,28000000
illinoisZephyr,3400000,3100000,400000,35600,19700000,5900000,,,29000000
heartlandFlyer,1700000,1800000,-100000,14600,7000000,2700000,,,37000000
pacificSurfliner,22300000,25900000,-3500000,349300,163400000,34700000,,,19000000
cascades,8600000,9500000,-900000,89900,30600000,14000000,,,36000000
capitols,12100000,12900000,-900000,162500,65000000,12200000,,,15000000
sanJoaquins,18800000,20400000,-1600000,168100,128800000.00000001,24800000,,,19000000
adirondack,500000,400000,100000,0,0,0,,,0
blueWater,3000000,3300000,-300000,35400,20900000,6800000,,,32000000
washingtonLynchburg,2100000,2600000,-500000,48200,19500000,7000000,,,35000000
washingtonNewportNews,0,2800000,5000000,-2100,71300000,27300000,,,9000000
washingtonNorfolk,0,2800000,4400000,-1500,56400000,34100000,,,7600000
washingtonRichmond,0,1000000,1400000,-400,15000000,9800000,,,1300000
hoosierState,0,0,0,0,0,0,,,0
kansasCityStLouis,3800000,3500000,400000,35600,22300000,6500000,,,33000000
pennsylvanian,3500000,4500000,-1000000,45000,19400000,9500000,,,48000000
gulfCoastLimited,0,0,0,0,0,0,,,0
pereMarquette,1500000,2400000,-900000,19800,6800000,3000000,,,45000000
carolinian,4700000,4700000,0,64500,34200000,13700000,,,42000000
piedmont,2100000,2200000,0,51500,18100000,6100000,,,32000000
nonNecSpecialTrainsAdjustments,700000,3800000,-3100000,0,700000,0,,,0
stateSupported,163900000,196700000,-32799999.999999996,2433400,1070800000,316800000,,,28000000
silverStar,8600000,19400000,-10800000,79000,61500000,33600000,,,50000000
cardinal,2200000,5700000,-3600000,23400,14900000,7800000,,,44000000
silverMeteor,9600000,17600000,-8000000,69200,63500000,36000000,,,52000000
empireBuilder,11100000,27100000,-16000000,82300,126500000,51300000,,,39000000
capitolLimited,4500000,9300000,-4800000,41400,30400000,17900000,,,58000000
californiaZephyr,13100000,27200000,-14100000,73900,100000000,52300000,,,49000000
southwestChief,10600000,23700000,-13100000,56400,92300000,48200000,,,52000000
cityOfNewOrleans,3700000,9500000,-5800000,41600,36400000,16000000,,,39000000
texasEagle,5800000,12200000,-6400000,63300,45000000,29800000,,,58000000
sunsetLimited,2600000,11300000,-8700000,18000,39400000,13000000,,,33000000
coastStarlight,11200000,21400000,-10200000,87100,73100000,38400000,,,48000000
lakeShoreLimited,7700000,16100000.000000002,-8400000,83900,65099999.99999999,33600000,,,46000000
palmetto,5800000,8900000,-3200000,64400.00000000001,36600000,14700000,,,37000000
crescent,8100000,16500000,-8400000,61000,59300000,24500000,,,41000000
autoTrain,27600000,21100000,6500000,66700,91900000,57000000,,,63000000
longDistanceAdjustments,0,1200000,-1200000,0,0,0,,,0
longDistance,132100000,248300000,-116200000,911700,935800000,474300000,,,48000000
ancillary,84200000,82400000,1800000,0,3000000,,,,
infrastructure,62500000,87600000,-25100000,2000,159440600000,,,,
amtrak,672700000,823800000,-151100000,5530000,2700200000,1193900000,,,41000000
