priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,585100000,511600000,500100000,-85000000,-15,-11500000
mechanical,274900000,301800000,292300000,17500000,6,-9500000
operations,48300000,12300000,9500000,-38800000,-80,-2800000
totalOperations,908200000,825700000,801900000,-106300000,-12,-23800000
it,87400000,81600000,80200000,-7200000,-8,-1400000
commericalMarketing,1400000,1900000,500000,-900000,-67,-1400000
ada,75100000,78300000,77600000,2500000,3,-700000
realEstateStationsFacilities,52400000,86100000,83600000,31200000,60,-2500000
safety,15100000,20900000,15000000,-100000,-1,-6000000
procurement,4200000,3400000,3000000,-1200000,-28,-400000
acela21,21000000,-44000000,337800000,188800000,-149.1,188800000
planningAssetDevelopment,69900000,110100000,463700000,393800000,563,353500000
intercityTrainsets,0,139200000,137200000,137100000,0,-2100000
otherOvhdAdjustment,-500000,3800000,3900000,4400000,896,0
totalCapitalSpend,1551100000,1532400000,1855300000,304200000,20,322900000
