priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,5802000,3061000,3084000,-2719000,-47000,23000
stateSupported,7456000,3984000,4047000,-3409000,-46000,63000
longDistance,2357000,1695000,1696000,-661000,-28000,1000
totalRidership,15615000,8740000,8827000,-6788000,-43000,87000
rasm,17950,14290,15430,-3000,-14000,1140
casm,24010,28340,27950,4000,16000,400
costRecoveryRatio,74800,50400,55200,,,4800
customerSatisfactionIndex,81700,81800,82700,,,900
seatMiles,8397900,6382900,6361700,-2036000,-24000,-21200
passengerMiles,3131100,2086699.9999999998,2102000,-1029000,-33000,15300
trainMiles,26700,19500,19500,-7000,-27000,0
