priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,1152300000,622200000,626800000,-525600000
foodBeverage,28300000,13800000,15900000,-12400000
stateSupportedTrainRevenue,277600000,297600000,298100000,20500000
subtotalPassengerRelatedRevenue,1458200000,933600000,940800000,-517500000
otherCoreRevenue,256100000.00000003,248500000,250000000,-6100000
ancillaryRevenue,292300000,290100000,285500000,-6800000
totalRevenue,2006600000,1472200000,1476300000,-530299999.99999994
salaries,256800000,278400000,279500000,22700000
wagesOvertime,884400000,817800000,816300000,-68100000
employeeBenefits,481800000,443300000,443100000,-38700000
employeeRelated,19000000,18000000,16900000,-2200000
salariesWagesBenefits,1641900000,1557400000,1555700000,-86200000
trainOperations,237200000,176500000,175300000,-61900000
fuelPowerUtilities,186400000,148000000,147800000,-38600000
materials,122300000,94600000,94000000,-28300000
facilityCommunicationOffice,135500000,139100000,139600000,4099999.9999999995
advertisingAndSales,47600000,41500000,41300000,-6300000
casualtyAndOtherClaims,54400000,44800000,60000000,5500000
professionalFeesDataProcessing,173400000,159200000,157600000,-15800000
allOtherExpense,105600000,159800000,157800000,52200000
transferToCapitalAncillary,-142900000,-141600000,-142800000,100000
totalExpense,2561600000,2379400000,2386300000,-175300000
adjustedOperatingEarnings,-555000000,-907200000,-910000000,-355000000
opebSAndPension,25500000,28800000,28900000,3300000
projectRelatedRevenueExpense,-122700000,-105000000,-114500000,8199999.999999999
depreciation,-773700000,-792000000,-761200000,12400000
officeOfInspectorGeneral,-18500000,-19500000,-19300000,-800000
stateCapitalPaymentAmortization,109800000,114600000,115700000,5900000
nonOperatingIncOr,50400000,-20100000,-20000000,-70400000
netIncomeOr,-1284200000,-1700300000,-1680500000,-396300000
