operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,80200000,215600000,-135500000,608000,387100000,123800000,32,83,1300
regional,166600000,350100000,-183400000,2475000,1240400000,403300000,33,85,3000
necSpecialTrainsAdj,6600000,8900000,-2300000,1000,4900000,200000,0,0,0
nec,253400000,574600000,-321200000,3084000,1632300000,527400000,33,85,4300
ethanAllenExpress,900000,700000,200000,3000,900000,500000,58,91,0
vermonter,400000,300000,100000,4000,2700000,1000000,54,92,0
mapleLeaf,21500000,22200000,-700000,182000,129500000,52600000,40,87,400
theDowneaster,12600000,13100000,-600000,134000,112100000,11400000,10,73,400
newHavenSpringfield,0,17500000,23000000,-5400,144000000,56000000,9.4,17,90000
keystoneService,33100000,53000000,-19900000,289000,177900000,26600000,15,95,500
empireService,40500000,53200000,-12700000,461000,232300000,54000000,23,91,700
chicagoStLouis,18900000,23100000,-4300000,190000,109800000,35200000,32,78,400
hiawathas,13900000,16100000.000000002,-2200000,164000,45700000,13300000,29,94,200
wolverines,12800000,15900000,-3000000,105000,66000000,24100000,37,54,200
illini,11500000,6100000,5400000,110000,84800000,17500000,21,83,200
illinoisZephyr,8300000.000000001,8800000,-500000,57000,36600000,9400000,26,91,200
heartlandFlyer,5500000,6800000,-1400000,34000,20000000,6100000,30,67,100
pacificSurfliner,62600000,77400000,-14800000,618000,367800000,59100000,16,88,800
cascades,18700000,24000000,-5300000,123000,51400000,19300000,38,60,300
capitols,33100000,38300000,-5200000,260000,153500000,18400000,12,92,600
sanJoaquins,47500000,55600000,-8000000,340000,327600000,48900000,15,82,800
adirondack,1800000,800000,1000000,0,0,0,0,0,0
blueWater,12500000,15000000,-2400000,74000,67900000,13600000,20,72,200
washingtonLynchburg,9700000,9400000,300000,85000,59700000,21100000,35,84,100
washingtonNewportNews,0,9900000,17000000,-7100,148000000,81500000,34.3,36,81000
washingtonNorfolk,0,15000000,13600000,1400,105000000,92200000,25.4,25,81000
washingtonRichmond,0,8500000,100000,8400,0,0,0,0,81000
hoosierState,0,0,0,0,0,0,0,0,0
kansasCityStLouis,8600000,8800000,-200000,57000,54100000,11300000,21,80,200
pennsylvanian,13200000,14600000,-1500000,98000,64099999.99999999,22500000,35,73,200
pereMarquette,5900000,6800000,-900000,38000,22900000,5800000,25,76,100
carolinian,16500000,18600000,-2000000,153000,98000000,46800000,47,69,300
piedmont,5300000,5900000,-700000,71000,33200000.000000004,8000000,24,78,200
nonNecSpecialTrainsAdj,100000,10200000,-10100000,0,2800000,0,0,0,100
stateSupported,466300000,558400000,-92100000,4047000,2551000000,595600000,23,83,7700
silverStar,16500000,44800000,-28300000,148000,165700000,70800000,43,42,500
cardinal,5100000,20900000,-15800000,55000,59400000,22300000,37,55,300
silverMeteor,19300000,48500000,-29200000,151000,194900000,79700000,41,53,500
empireBuilder,25100000,67400000,-42400000,161000,275000000,118200000,43,58,900
capitolLimited,7100000,21600000,-14400000,67000,52700000,28600000,54,32,300
californiaZephyr,23900000,67099999.99999999,-43200000,136000,220000000,105300000,48,40,800
southwestChief,20100000,61800000,-41600000,100000,210700000,95300000,45,33,800
cityOfNewOrleans,7600000,23000000,-15400000,79000,77800000,32900000,40,83,300
texasEagle,11400000,29800000,-18300000,114000,92600000,60500000,65,53,500
sunsetLimited,6600000,39800000,-33200000.000000004,48000,126700000,34600000,27,28,500
coastStarlight,16600000.000000002,53200000,-36600000,148000,153100000,63500000,42,58,400
lakeShoreLimited,12600000,36300000,-23700000,141000,126500000,59700000,47,56,400
palmetto,8600000,20400000,-11800000,100000,70100000,27700000,39,58,300
crescent,11600000,36300000,-24700000,87000,94800000,41800000,44,50,400
autoTrain,69800000,72400000,-2600000,161000,258399999.99999997,138000000,54,56,500
longDistanceAdj,0,1500000,-1500000,0,0,0,0,0,0
longDistance,262100000.00000003,644900000,-382800000,1696000,2178400000,979000000,45,51,7400
ancillary,282400000,277600000,4800000,0,259000000,,,
infrastructure,212000000,330700000,-118700000,6400,519487000000,,,
amtrak,1476300000,2386300000,-910000000,8827000,6361700000,2102000000,33,78,19500
