priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,533799999.99999994,448000000,449400000,-84400000,-16,1500000
mechanical,234100000,237400000,260899999.99999997,26900000,11,23600000
operations,47700000,9300000,8600000,-39100000,-82,-800000
totalOperations,815600000,694700000,718900000,-96600000,-12,24300000
it,80400000,71000000,68700000,-11700000,-15,-2300000
commericalMarketing,1400000,2600000,500000,-900000,-67,-2200000
adaStations,112800000,151800000,150300000,37500000,33,-1500000
safety,14100000,14400000,12700000,-1400000,-10,-1700000
procurement,3700000,2900000,2600000,-1200000,-31,-300000
acela21,21000000,-49000000,323400000,165800000,-157.6,165800000
planningAssetDevelopment,65300000,439500000,102000000,36600000,56,-337500000
intercityTrainsets,0,3700000,136000000,136000000,0,132300000.00000001
otherOvhdAdjustment,-500000,-3300000,3800000,4300000,887,7200000
totalCapitalSpend,1416200000,1560200000,1361300000,-55000000,-4,-199000000
