priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,124100000,1000000,91500000,32600000,-26,91500000
mechanical,39200000,73700000,51100000,11900000,30,-22700000
operations,2400000,7900000,3200000,800000,32,-4600000
totalOperations,1000000,-12000000,65700000,145800000,-19.9,145800000
it,11600000,21300000,14200000,2600000,23,-7100000
commericalMarketing,300000,1100000,0,-200000,-91,-1000000
ada,16100000.000000002,27200000,14400000,-1700000,-11,-12900000
realEstateStationsFacilities,18700000,30100000,30800000,12000000,64,700000
apdEmergencyManagement,700000,1900000,1000000,300000,49,-900000
safety,100000,1900000,1200000,1100000,0,-700000
enviromental,600000,2600000,1500000,900000,134,-1100000
procurement,400000,1100000,200000,-200000,-55,-1000000
newAcela,19900000,35500000,23100000,3200000,16,-12400000
gateway,2800000,10300000,4700000,1900000,68,-5600000
planningStrategy,6400000,8199999.999999999,6600000,200000,4,-1600000
bPTunnel,100000,5100000,3400000,3400000,0,-1700000
intercityTrainsets,0,93600000,89100000,89100000,0,-4500000
otherOvhdAdjustment,0,200000,100000,100000,0,-100000
totalCapitalSpend,243400000,487900000,336100000,92700000,38,-151700000
