priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,411000,1470000,1532000,1120000,272000,62000
stateSupported,612000,1580000,1640000,1029000,168000,60000
longDistance,250000,572000,582000,332000,133000,10000
totalRidership,1273000,3622000,3754000,2480000,195000,132000
rasm,13020,17490,20040,7000,54000,2550
casm,26200,22480,24270,-2000,-7000,-1790
costRecoveryRatio,49700,77800,82600,,,4800
customerSatisfactionIndex,84100,81100,81200,,,100
seatMiles,1234100,1911000,1777500,543000,44000,-133500
passengerMiles,298100,750600,790900,493000,165000,40300
trainMiles,3700,6000,5800,2000,56000,-100
