priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,84000000,259100000.00000003,288800000,204800000
foodBeverage,1800000,7200000,6300000,4500000
stateSupportedTrainRevenue,68700000,59800000,49400000,-19300000
subtotalPassengerRelatedRevenue,154500000,326000000,344500000,190000000
otherCoreRevenue,44200000,47700000,52600000,8400000
ancillaryRevenue,55200000,60400000,53600000,-1600000
totalRevenue,253900000,434100000,450700000,196800000
salaries,53700000,61700000,63000000,9300000
wagesOvertime,161500000,192700000,185400000,23900000
employeeBenefits,77400000,93700000,92000000,14600000
employeeRelated,2600000,6700000,5400000,2800000
salariesWagesBenefits,295300000,354900000,345800000,50500000
trainOperations,32100000,47100000,46100000,14000000
fuelPowerUtilities,23900000,42900000,42900000,18900000
materials,16200000,22200000,19300000,3100000
facilityCommunicationOffice,24800000,35800000,30600000,5900000
advertisingAndSales,6500000,14100000,13600000,7100000
casualtyAndOtherClaims,7700000,10800000,3800000,-3900000
professionalFeesDataProcessing,26800000,34400000,28500000,1800000
allOtherExpense,28200000,27100000,36400000,8199999.999999999
transferToCapitalAncillary,-25800000,-31000000,-27200000,-1400000
totalExpense,435700000,558400000,539700000,104000000
adjustedOperatingEarnings,-181800000,-124300000,-89100000,92700000
opebSAndPension,6300000,6300000,5400000,-1000000
projectRelatedRevenueExpense,-21300000,-10600000,-23000000,-1700000
depreciation,-158200000,-160300000,-149500000,8700000
officeOfInspectorGeneral,-3700000,-3900000,-3900000,-200000
stateCapitalPaymentAmortization,22400000,22900000,23700000,1400000
nonOperatingIncOr,-3500000,-2000000,-4700000,-1100000
netIncomeOr,-339800000,-271800000,-241000000,98800000
