operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,52900000,49300000,3600000,325500,105200000,64900000.00000001,,,62000000
regional,106900000,89000000,17900000,1206100,355700000,215400000,,,61000000
necSpecialTrainsAdjustments,0,700000,1200000,-500,0,500000,,,0
nec,1000000,60500000,1000000,39400,21100000,1531600000,,,461400000
ethanAllenExpress,600000,700000,-200000,8400,3700000,500000,,,12000000
vermonter,1000000,400000,1500000,-100,16300000,9100000,,,1800000
mapleLeaf,4000000,100000,5100000,-1000,62500000,39200000,,,11800000
theDowneaster,2000000,600000,2900000,-300,70100000,24300000,,,5800000
newHavenSpringfield,0,3000000,900000,5300,-1300000,57700000,,,17000000
keystoneService,5000000,100000,10300000,-5200,133900000,36800000,,,9200000
empireService,10900000,12200000,-1300000,183100,49200000,28500000,,,58000000
chicagoStLouis,5000000,700000,5600000,100,73700000,36800000,,,13500000
hiawathas,3000000,900000,3400000,500,77600000,14600000,,,6200000
wolverines,5000000,300000,5700000,-400,56600000,28500000,,,12300000
illini,3000000,500000,2700000,800,52800000,34200000,,,8400000
illinoisZephyr,2000000,400000,1900000,500,23000000,13000000,,,3800000
heartlandFlyer,1000000,100000,1200000,-100,9200000,4500000,,,1700000
pacificSurfliner,15700000,17200000,-1500000,234900,104400000,23000000,,,22000000
cascades,5000000,600000,6300000,-700,56400000,20300000,,,8800000
capitols,8000000,0,8600000,-500,112700000,44300000,,,8400000
sanJoaquins,12500000,13600000,-1100000,112500,85200000,16500000,,,19000000
adirondack,0,200000,300000,-100,0,0,,,0
blueWater,2000000,0,2200000,-100,23100000,13900000,,,4400000
washingtonLynchburg,1000000,700000,1800000,-100,33299999.999999996,12900000,,,4900000
washingtonNewportNews,0,2000000,400000,3200,-800000,48700000,,,18200000
washingtonNorfolk,0,2000000,200000,2900,-600000,36900000,,,22600000
washingtonRichmond,0,0,700000,800,-100000,9500000,,,6500000
hoosierState,0,0,0,0,0,0,,,0
kansasCityStLouis,2000000,500000,2300000,200,24900000,14400000,,,4400000
pennsylvanian,2000000,400000,3000000,-600,29900000,12800000,,,6200000
gulfCoastLimited,0,0,0,0,0,0,,,0
pereMarquette,1000000,0,1100000,0,12600000,4500000,,,1900000
carolinian,3000000,300000,3000000,200,43800000,24000000,,,9100000
piedmont,1000000,400000,1400000,0,36100000,11800000,,,4300000
nonNecSpecialTrainsAdjustments,0,0,2200000,-2100,0,500000,,,0
stateSupported,1000000,12400000,1000000,28400,-16000000,1640300000,,,707300000
silverStar,5300000,12100000,-6900000,47400,35700000,19900000,,,56000000
cardinal,1000000,400000,3700000,-2300,15000000,8800000,,,4900000
silverMeteor,6000000,0,11700000,-5600,43000000,38000000,,,21900000
empireBuilder,6000000,600000,18200000,-11600,48000000,83100000,,,31300000
capitolLimited,3000000,100000,6100000,-2900,27800000,20700000,,,12000000
californiaZephyr,8000000,300000,18200000,-9900,47000000,67099999.99999999,,,34900000
southwestChief,7000000,100000,15500000,-8400,37300000,62000000,,,31800000
cityOfNewOrleans,2000000,300000,6400000,-4100,26000000,22400000,,,9800000
texasEagle,3000000,600000,8199999.999999999,-4500,42800000,30700000,,,19500000
sunsetLimited,1000000,600000,7400000,-5800,10900000,26000000,,,7900000
coastStarlight,6000000,700000,13900000,-7300,55500000,48100000,,,23500000
lakeShoreLimited,5000000,0,10700000,-5800,55000000,42700000,,,21700000
palmetto,3000000,900000,5800000,-1900,44100000,24300000,,,9800000
crescent,5000000,100000,10800000,-5700,40500000,39000000,,,15600000
autoTrain,17400000,14000000,3400000,41400,60100000,35400000,,,59000000
longDistanceAdjustments,0,0,900000,-900,0,0,,,0
longDistance,83300000,1000000,63600000,-80200,581700000,608800000,,,299800000
ancillary,52600000,51100000,1500000,0,1000000,,,,
infrastructure,41900000,57300000,-15400000,1300,105313500000,,,,
amtrak,4000000,50700000,5000000,39700,-89100000,3753600000,,,1777500000
