priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,65599999.99999999,87300000,43100000,-22500000,-34,-44200000
mechanical,21300000,42400000,19400000,-2000000,-9,-23000000
operations,700000,2900000,800000,100000,16,-2100000
totalOperations,87600000,132600000,63200000,-24400000,-28,-69400000
it,5300000,10800000,7400000,2100000,40,-3400000
commericalMarketing,300000,500000,0,-300000,-100,-500000
ada,5600000,13800000,6500000,900000,17,-7300000
realEstateStationsFacilities,8400000,17000000,5900000,-2500000,-30,-11100000
apdEmergencyManagement,400000,900000,600000,200000,58,-300000
safety,0,800000,800000,800000,0,100000
enviromental,400000,700000,800000,400000,105,100000
procurement,200000,300000,-100000,-200000,-130,-400000
newAcela,8100000,15700000,9800000,1700000,21,-5900000
gateway,1500000,5000000,700000,-800000,-53,-4300000
planningStrategy,2500000,4099999.9999999995,3300000,800000,31,-800000
bPTunnel,0,2700000,1900000,1900000,0,-800000
intercityTrainsets,0,90600000,88200000,88200000,0,-2400000
otherOvhdAdjustment,0,100000,0,0,0,-100000
totalCapitalSpend,120300000,295700000,189200000,68900000,57,-106500000
