priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,219000,741000,774000,555000,253000,34000
stateSupported,326000,782000,794000,468000,144000,12000
longDistance,140000,279000,277000,137000,97000,-2000
totalRidership,685000,1802000,1846000,1160000,169000,44000
rasm,12890,17380,19920,7000,55000,2540
casm,26230,22380,23800,-2000,-9000,-1420
costRecoveryRatio,49100,77700,83700,,,6100
customerSatisfactionIndex,84200,81100,80900,,,-200
seatMiles,639300,962400,881800,242000,38000,-80600
passengerMiles,160900,375800,389800,229000,142000,14100
trainMiles,2000,3000,3000,1000,49000,-100
