priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,741500000,624800000,631400000,-110100000,-15,6600000
mechanical,320300000,351200000,350100000,29700000,9,-1100000
operations,50400000,17700000,17200000,-33100000,-66,-400000
totalOperations,1112200000,993700000,998700000,-113500000,-10,5000000
it,107300000,111800000,111400000,4200000,4,-400000
commericalMarketing,500000,500000,300000,-100000,-28,-100000
adaCustomerService,192700000,196200000,194200000,1500000,1,-2000000
safety,20200000,25200000,22700000,2600000,13,-2400000
procurement,4600000,5500000,4900000,200000,5,-600000
acela21,21000000,-46000000,425600000,227800000,-197.8,227800000
planningAssetDevelopment,78900000,507800000,507400000,428500000,543,-400000
intercityTrainsets,200000,140500000,139400000,139200000,0,-1100000
otherOvhdAdjustment,0,3900000,200000,200000,0,-3700000
totalCapitalSpend,1942100000,2221400000,2207100000,265000000,14,-14300000
