priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,6147000,4357000,4409000,-1739000,-28000,52000
stateSupported,8004000,5538000,5520000,-2485000,-31000,-18000
longDistance,2690000,2227000,2238000,-452000,-17000,11000
totalRidership,16842000,12122000,12167000,-4675000,-28000,45000
rasm,17070,14610,16420,-1000,-4000,1810
casm,24470,27990,27690,3000,13000,300
costRecoveryRatio,69800,52200,59300,,,7100
customerSatisfactionIndex,81700,81800,82400,,,600
seatMiles,9771700,8063800,8020100,-1752000,-18000,-43700
passengerMiles,3450200,2860900,2858600,-592000,-17000,-2300
trainMiles,31100,25100,25000,-6000,-20000,-100
