priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,1238300000,875000000,888000000,-350300000
foodBeverage,30800000,21600000,23000000,-7900000
stateSupportedTrainRevenue,342100000,355200000,352800000,10700000
subtotalPassengerRelatedRevenue,1611200000,1251800000,1263800000,-347500000
otherCoreRevenue,303200000,302200000,307600000,4400000
ancillaryRevenue,350100000,359400000,361700000,11600000
totalRevenue,2264500000,1913400000,1933100000,-331400000
salaries,302800000,341300000,341000000,38200000
wagesOvertime,1052800000,994500000,997100000,-55700000
employeeBenefits,581200000,542700000,542200000,-39000000
employeeRelated,21900000,22300000,21800000,-200000
salariesWagesBenefits,1958700000,1900700000,1902100000,-56600000
trainOperations,275600000,215400000,215900000,-59800000
fuelPowerUtilities,215500000,185600000,188400000,-27100000
materials,150100000,120100000,128300000.00000001,-21800000
facilityCommunicationOffice,164200000,171000000,173300000,9100000
advertisingAndSales,56600000,53200000,56200000,-400000
casualtyAndOtherClaims,58600000,69500000,90100000,31400000
professionalFeesDataProcessing,218000000,194800000,194400000,-23600000
allOtherExpense,128300000.00000001,191700000,191600000,63300000
transferToCapitalAncillary,-172000000,-173700000,-177200000,-5100000
totalExpense,3053600000,2928300000,2963100000,-90500000
adjustedOperatingEarnings,-789100000,-1014900000,-1030000000,-240900000
opebSAndPension,31400000,34600000,34500000,3100000
projectRelatedRevenueExpense,-151200000,-149700000,-147200000,4000000
depreciation,-926300000,-912900000,-905000000,21300000
officeOfInspectorGeneral,-22400000,-23700000,-24100000,-1800000
stateCapitalPaymentAmortization,133400000,138400000,139700000,6300000
nonOperatingIncOr,45200000,-23500000,-23100000,-68300000
netIncomeOr,-1679000000,-1951700000,-1955200000,-276200000
