operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,122900000,266500000,-143600000,897600,490600000,182400000,,,37000000
regional,243400000,431600000,-188100000,3508800,1573900000,571200000,,,37000000
necSpecialTrainsAdjustments,7800000,10200000,-2400000,2400,6200000,400000,,,0
nec,374100000,708200000,-334100000,4408800,2070600000,754100000,,,37000000
ethanAllenExpress,1600000,1500000,100000,12500,4900000,2200000,,,49000000
vermonter,2600000,1900000,600000,18600,11200000,4700000,,,45000000
mapleLeaf,25400000,27100000,-1800000,245100,167100000,71600000,,,43000000
theDowneaster,15600000,15800000,-200000,205700,137900000,17400000,,,13000000
newHavenSpringfield,0,22700000,28200000,-5500,192600000,75500000,,,13500000
keystoneService,39800000,63800000,-24000000,394300,211800000,36800000,,,17000000
empireService,49200000,63100000,-13900000,613200,276200000,71700000,,,26000000
chicagoStLouis,24900000,28400000,-3600000,261200,145400000,48400000,,,33000000
hiawathas,18600000,19700000,-1100000,241600,60300000,19500000,,,32000000
wolverines,18800000,21300000,-2500000,153900,91000000,35200000,,,39000000
illini,14800000,8600000,6200000,150100,119700000,24000000,,,20000000
illinoisZephyr,10500000,10800000,-300000,78200,49700000,13000000,,,26000000
heartlandFlyer,6600000,7900000,-1300000,42300,24400000,7600000,,,31000000
pacificSurfliner,76800000,94600000,-17800000,841000,451600000,78200000,,,17000000
cascades,24500000,30300000,-5800000,181500,71000000,28800000,,,41000000
capitols,41800000,47200000,-5400000,354400,194600000,25000000,,,13000000
sanJoaquins,59400000,69500000,-10100000,434100,402000000,62700000,,,16000000
adirondack,2200000,1100000,1100000,0,0,0,,,0
blueWater,15000000,17400000,-2400000,98700,81900000,18300000,,,22000000
washingtonLynchburg,13000000,11100000,1900000,113600,72600000,28000000,,,38000000
washingtonNewportNews,0,13400000,20400000,-7000,195100000,99100000,,,44900000
washingtonNorfolk,0,18100000,16600000.000000002,1500,142000000,113000000,,,34200000
washingtonRichmond,0,8700000,200000,8500,500000,500000,,,100000
hoosierState,0,0,0,0,0,0,,,0
kansasCityStLouis,11600000,11100000,500000,77200,71000000,15100000,,,21000000
pennsylvanian,15500000,17800000,-2300000,128500,76700000,29800000,,,39000000
gulfCoastLimited,0,0,0,0,0,0,,,0
pereMarquette,7100000,8000000,-900000,52400,27400000,7900000,,,29000000
carolinian,20000000,21600000,-1600000,194700,117800000,59900000,,,50000000
piedmont,6900000,7400000,-500000,97200,41600000,11000000,,,27000000
nonNecSpecialTrainsAdjustments,100000,12400000,-12300000,100,3500000,0,,,0
stateSupported,584700000,684800000,-100100000,5519900,3199400000,809600000,,,25000000
silverStar,21400000,55900000,-34500000,187200,197800000,89100000,,,45000000
cardinal,6700000,24600000,-17900000,69100,68100000,27600000,,,40000000
silverMeteor,25200000,59400000,-34200000,187000,229500000,99500000,,,43000000
empireBuilder,38400000,85600000,-47200000,220700,362000000,168000000,,,47000000
capitolLimited,11200000,28000000,-16700000,96900,71500000,42300000,,,59000000
californiaZephyr,35500000,85400000,-49900000,184700,285700000,146500000,,,51000000
southwestChief,29500000,77000000,-47500000,135900,271900000,128900000,,,47000000
cityOfNewOrleans,9500000,28100000,-18600000,100800,100600000,41000000,,,39000000
texasEagle,15500000,37600000,-22100000,151400,123300000,79900000,,,65000000
sunsetLimited,8199999.999999999,47800000,-39600000,57600,151800000,42300000,,,28000000
coastStarlight,21200000,65800000,-44700000,189600,190000000,79900000,,,42000000
lakeShoreLimited,19300000,46800000,-27500000,195900,168300000,84800000,,,50000000
palmetto,12700000,25900000,-13200000,147700,98300000,39800000,,,40000000
crescent,15800000,46200000,-30400000,114300,122600000,54800000,,,45000000
autoTrain,87900000,85600000,2300000,199400,308700000,170500000,,,56000000
longDistanceAdjustments,100000,28100000,-28000000,0,0,0,,,0
longDistance,358100000,827800000,-469700000,2238100,2750000000,1294900000,,,47000000
ancillary,357100000,350400000,6700000,0,343000000,,,,
infrastructure,259000000,392000000,-132900000,7700,624064900000,,,,
amtrak,1933100000,2963100000,-1030000000,12166800,8020100000,2858600000,,,36000000
