priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
infrastructureServices,347000000,333300000,326300000,-20600000,-6,-7000000
mechanical,155900000,170400000,167300000,11400000,7,-3100000
otherOperations,4600000,12400000,12300000,7700000,168,0
totalOperations,507400000,516100000,505900000,-1500000,0,-10100000
digitalTechnologyInnovation,52500000,62600000,64599999.99999999,12100000,23,2000000
commericalMarketing,300000,100000,100000,-200000,-53,0
ada,58900000,51400000,51700000,-7200000,-12,300000
realEstateStationsFacilities,61500000,326000000,71700000,10200000,17,-254300000
apdEmergencyManagement,1500000,6700000,6800000,5300000,346,200000
safety,1000000,3300000,5000000,4000000,391,1700000
enviromental,6000000,4700000,4500000,-1600000,-26,-200000
procurement,1600000,1900000,1500000,-200000,-11,-500000
newAcela,126700000,130000000,129800000.00000001,3200000,2,-100000
gateway,11800000,68200000,53700000,41900000,354,-14500000
planningStrategy,51800000,52600000,54400000,2600000,5,1800000
bPTunnel,2200000,21300000,22200000,20000000,893,900000
intercityTrainsets,400000,149000000,148500000,148100000,0,-500000
otherOvhdAdjustment,-3300000,5400000,5400000,8700000,261,-100000
totalCapitalSpend,880600000,1399400000,1126000000,245400000,28,-273400000
