priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,1446000,4818000,4572000,3126000,216000,-246000
stateSupported,2090000,5783000,5171000,3081000,147000,-612000
longDistance,841000,1900000,1867000,1025000,122000,-33000
totalRidership,4377000,12501000,11610000,7232000,165000,-891000
rasm,13380,16550,19750,6000,48000,3190
casm,27750,23120,27510,0,-1000,-4380
costRecoveryRatio,48200,71600,71800,,,200
customerSatisfactionIndex,84300,81200,81700,,,500
seatMiles,4175399.9999999995,6893200,5814400,1639000,39000,-1078800
passengerMiles,1030500,2551700,2430500,1400000,136000,-121100
trainMiles,12400,21200,18700,6000,50000,-2500
