priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,299200000,865200000,882700000,583400000
foodBeverage,6900000,20500000,20600000,13700000
stateSupportedTrainRevenue,223500000,202400000,205100000,-18400000
subtotalPassengerRelatedRevenue,529700000.00000006,1088100000,1108400000,578600000
otherCoreRevenue,171300000,183000000,185200000,13800000
ancillaryRevenue,190000000,205500000,208800000,18800000
totalRevenue,891100000,1476600000,1502400000,611300000
salariesWagesBenefits,1011700000,1268800000,1273500000,261700000
trainOperations,118800000,167500000,167100000,48300000
fuelPowerUtilities,97000000,154200000,153900000,56900000
materials,59200000,83000000,84500000,25300000
facilityCommunicationOffice,95200000,111200000,112800000,17500000
advertisingAndSales,21800000,44200000,44600000,22700000
casualtyAndOtherClaims,32799999.999999996,36900000,30000000,-2800000
professionalFeesDataProcessing,110900000,116200000,114300000,3400000
allOtherExpense,110300000,134900000,146600000,36300000
transferToCapitalAncillary,-88100000,-102300000,-100400000,-12300000
totalExpense,1569800000,2014600000,2026800000,457000000
adjustedOperatingEarnings,-678700000,-538100000,-524400000,154300000
opebSAndPension,20600000,17900000,17900000,-2700000
projectRelatedRevenueExpense,-73600000,-82700000,-89700000,-16100000.000000002
depreciation,-555800000,-534100000,-527500000,28200000
officeOfInspectorGeneral,-13400000,-14400000,-14300000,-900000
stateCapitalPaymentAmortization,80200000,83400000,83500000,3400000
nonOperatingIncOr,-12600000,-16200000,-17000000,-4400000
netIncomeOr,-1233300000,-1084100000,-1071500000,161800000
