operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,165000000,186400000,-21400000,1050600,372600000,209500000,,,50000000
regional,301800000,319700000,-17900000,3521300,1123700000,630800000,,,54000000
necSpecialTrainsAdjustments,3600000,5600000,-2000000,0,2500000,0,,,0
nec,470500000,511800000,-41300000,4571900,1498800000,840400000,,,53000000
ethanAllenExpress,1500000,3300000,-1900000,26300,13000000,1400000,,,11000000
vermonter,5300000,5600000,-300000,45400,30300000,5100000,,,17000000
mapleLeaf,18800000,22300000,-3500000,206100,136300000,38800000,,,29000000
theDowneaster,10000000,11000000,-1000000,216400,89100000,19000000,,,21000000
newHavenSpringfield,0,12200000,19400000,-7200,176100000,57500000,,,10100000
keystoneService,18300000,41200000,-22900000,413100,128800000.00000001,28100000,,,21000000
empireService,32100000,43100000,-10900000,544100,167500000,88400000,,,51000000
chicagoStLouis,21600000,23100000,-1500000,250900,134800000,46800000,,,36000000
hiawathas,11700000,13800000,-2000000,239800,46900000,19300000,,,36000000
wolverines,20100000,23700000,-3700000,188000,95800000,41200000,,,41000000
illini,12000000,9300000,2600000,137000,88200000,22200000,,,27000000
illinoisZephyr,10600000,9100000,1500000,75300,43800000,12400000,,,28000000
heartlandFlyer,4200000,4700000,-500000,31800,15500000,5800000,,,37000000
pacificSurfliner,53300000,65800000,-12500000,802700,379600000,79400000,,,20000000
cascades,21600000,24800000,-3200000,196000,69000000,30400000,,,40000000
capitols,29500000,32700000.000000004,-3200000,342600,144100000,25800000,,,16000000
sanJoaquins,46100000,51700000,-5700000,374700,301600000,54600000,,,18000000
adirondack,1100000,1100000,-100000,0,0,0,,,0
blueWater,8000000,9100000,-1100000,73200,45500000,14200000,,,31000000
washingtonLynchburg,5600000,6500000,-900000,103100,44500000,14600000,,,33000000
washingtonNewportNews,0,7200000,9600000,-2400,121200000,47800000,,,15200000
washingtonNorfolk,0,8800000,11200000,-2400,126000000,76700000,,,17000000
washingtonRichmond,0,5200000,3900000,1300,36600000,22200000,,,3100000
hoosierState,0,0,0,0,0,0,,,0
kansasCityStLouis,7100000,6500000,600000,60700,36200000,11700000,,,35000000
pennsylvanian,8400000,11500000,-3100000,93000,44200000,19500000,,,44000000
gulfCoastLimited,0,0,0,0,0,0,,,0
pereMarquette,4300000,6100000,-1900000,41600,15200000,6400000,,,42000000
carolinian,11200000,12000000,-800000,136000,72500000,28900000,,,41000000
piedmont,5200000,5300000,-100000,114000,36000000,13400000,,,36000000
nonNecSpecialTrainsAdjustments,900000,9800000,-9000000,0,3000000,0,,,0
stateSupported,402000000,497500000,-95500000,5171400,2385500000,672800000,,,28000000
silverStar,26200000,58800000,-32700000.000000004,219200,196200000,104900000,,,52000000
cardinal,4200000,14800000,-10600000,44900,31000000,15400000,,,45000000
silverMeteor,11100000,22800000,-11700000,79200,76000000,41800000,,,51000000
empireBuilder,20200000,59300000,-39100000,144500,218800000,91600000,,,41000000
capitolLimited,8300000.000000001,21300000,-13000000,81900,61900000,35000000,,,56000000
californiaZephyr,27100000,65099999.99999999,-38000000,165900,204500000,105200000,,,50000000
southwestChief,20000000,53500000,-33500000,108200,178200000,93800000,,,52000000
cityOfNewOrleans,7800000,22600000,-14800000,87000,83300000,34000000,,,37000000
texasEagle,11700000,29600000,-17900000,129400,99800000,62500000,,,59000000
sunsetLimited,5900000,29700000,-23800000,39200,90200000,28700000,,,32000000
coastStarlight,21300000,48800000,-27400000,174700,150200000,76700000,,,49000000
lakeShoreLimited,14200000,36200000,-22000000,153600,118700000,61100000,,,48000000
palmetto,13500000,23700000,-10300000,155500,92400000,36000000,,,38000000
crescent,15300000,36900000,-21600000,118800,114900000,47800000,,,41000000
autoTrain,69000000,54200000,14800000,164600,214100000,82800000,,,40000000
longDistanceAdjustments,0,13000000,-12900000,0,0,0,,,0
longDistance,275700000,590100000,-314400000,1866600,1930100000,917300000,,,46000000
ancillary,207500000,201900000,5600000,0,3000000,,,,
infrastructure,146800000,225600000,-78800000,4700,366834100000,,,,
amtrak,1502400000,2026800000,-524400000,11609800,5814400000,2430500000,,,40000000
