priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,242400000,216700000,207200000,-35100000,-15,-9400000
mechanical,113700000,113900000,114500000,700000,1,600000
operations,3400000,9600000,8700000,5300000,156,-900000
totalOperations,359500000,340100000,330400000,-29100000,-8,-9700000
it,34900000,47700000,47600000,12600000,36,-200000
commericalMarketing,300000,100000,100000,-200000,-53,0
ada,44400000,35700000,35700000,-8700000,-20,100000
realEstateStationsFacilities,44800000,61800000,58700000,14000000,31,-3100000
apdEmergencyManagement,1300000,5200000,3800000,2500000,185,-1400000
safety,500000,2900000,2700000,2200000,440,-300000
enviromental,4000000,4300000,3600000,-500000,-12,-800000
procurement,900000,1100000,800000,0,-6,-300000
newAcela,120800000,81500000,58400000,-62400000,-52,-23000000
gateway,6500000,15300000,14300000,7700000,118,-1000000
planningStrategy,46300000,27900000,33700000,-12600000,-27,5800000
bPTunnel,900000,13700000,14600000,13700000,0,1000000
intercityTrainsets,0,146100000,145600000,145600000,0,-500000
otherOvhdAdjustment,-700000,1200000,1200000,1800000,274,0
totalCapitalSpend,664500000,784500000,751100000,86600000,13,-33299999.999999996
