priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,901000,3355000,3097000,2196000,244000,-259000
stateSupported,1330000,4035000,3506000,2176000,164000,-529000
longDistance,556000,1307000,1310000,754000,136000,3000
totalRidership,2787000,8697000,7913000,5126000,184000,-784000
rasm,12740,16500,18460,6000,45000,1950
casm,26740,23160,26200,-1000,-2000,-3040
costRecoveryRatio,47600,71300,70400,,,-800
customerSatisfactionIndex,84300,81400,81800,,,400
seatMiles,2955600,4795000,4212300,1257000,43000,-582600
passengerMiles,664000,1763000,1688000,1024000,154000,-75000
trainMiles,8900,14900,13700,5000,54000,-1200
