priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,184000000,592900000,589800000,405800000
foodBeverage,4200000,14300000,13900000,9700000
stateSupportedTrainRevenue,169100000,144200000,144100000,-24900000
subtotalPassengerRelatedRevenue,357200000,751400000,747800000,390600000
otherCoreRevenue,119600000,133100000,133500000,14000000
ancillaryRevenue,130600000,139600000,142000000,11400000
totalRevenue,607400000,1024099999.9999999,1023300000,416000000
salaries,132699999.99999999,161700000,162100000,29500000
wagesOvertime,399400000,479500000,474200000,74800000
employeeBenefits,170700000,238500000,237300000,66599999.99999999
employeeRelated,7500000,12900000,12800000,5300000
salariesWagesBenefits,710300000,892600000,886500000,176200000
trainOperations,84000000,120200000,118500000,34500000
fuelPowerUtilities,65800000,106600000,105300000,39500000
materials,38200000,54100000,56900000,18700000
facilityCommunicationOffice,65000000,78100000,76800000,11800000
advertisingAndSales,12400000,30200000,30400000,18000000
casualtyAndOtherClaims,19200000,14000000,11300000,-7900000
professionalFeesDataProcessing,69800000,81700000,79300000,9500000
allOtherExpense,68200000,88800000,93200000,25000000
transferToCapitalAncillary,-58000000,-62900000,-64000000,-6000000
totalExpense,1074800000,1403200000,1394100000,319300000
adjustedOperatingEarnings,-467500000,-379100000,-370700000,96700000
opebSAndPension,15800000,13900000,13400000,-2300000
projectRelatedRevenueExpense,-47400000,-52500000,-59600000,-12200000
depreciation,-399100000,-381100000,-377000000,22100000
officeOfInspectorGeneral,-9400000,-10000000,-9700000,-300000
stateCapitalPaymentAmortization,56900000,58400000,59100000,2200000
nonOperatingIncOr,-9600000,-10500000,-11500000,-1900000
netIncomeOr,-860400000,-760800000,-756100000,104300000
