priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,207800000,184000000,165100000,-42700000,-21,-18900000
mechanical,87400000,97700000,95200000,7800000,9,-2500000
operations,3200000,6900000,7300000,4099999.9999999995,128,500000
totalOperations,298500000,288600000,267700000,-30800000,-10,-20900000
it,27100000,36100000,36100000,9000000,33,0
commericalMarketing,300000,700000,100000,-200000,-62,-600000
ada,37000000,30300000,29300000,-7700000,-21,-1000000
realEstateStationsFacilities,37600000,52500000,51400000,13800000,37,-1100000
apdEmergencyManagement,1100000,4800000,2600000,1500000,131,-2200000
safety,300000,2100000,1800000,1600000,557,-200000
enviromental,2500000,3000000,3000000,500000,19,0
procurement,700000,1500000,500000,-100000,-22,-900000
newAcela,68400000,59000000,47500000,-20900000,-31,-11600000
gateway,4900000,12100000,11100000,6200000,128,-1000000
planningStrategy,43700000,26200000,25000000,-18700000,-43,-1200000
bPTunnel,500000,8400000,9900000,9300000,0,1500000
intercityTrainsets,0,145200000,144100000,144100000,0,-1000000
otherOvhdAdjustment,-700000,300000,1100000,1700000,260,800000
totalCapitalSpend,521900000,670800000,631300000,109400000,21,-39500000
