priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,732000,2763000,2582000,1850000,253000,-181000
stateSupported,1083000,3283000,2940000,1857000,172000,-344000
longDistance,463000,1097000,1122000,659000,142000,25000
totalRidership,2277000,7142000,6643000,4366000,192000,-499000
rasm,12600,16700,18620,6000,48000,1920
casm,25810,22720,25320,0,-2000,-2600
costRecoveryRatio,48800,73500,73500,,,0
customerSatisfactionIndex,84500,81400,81800,,,400
seatMiles,2437700,3898500,3504400,1067000,44000,-394100
passengerMiles,548400,1465600,1444600,896000,163000,-21000
trainMiles,7300,12100,11400,4000,56000,-700
