priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,152500000,522799999.99999994,503900000,351400000
foodBeverage,3000000,12600000,11700000,8700000
stateSupportedTrainRevenue,136100000,103800000,111800000,-24300000
subtotalPassengerRelatedRevenue,291600000,639200000,627400000,335700000
otherCoreRevenue,95400000,102700000,108400000,13000000
ancillaryRevenue,109700000,110800000,111400000,1700000
totalRevenue,496700000,852700000,847100000,350400000
salaries,107000000,127400000,130300000.00000001,23300000
wagesOvertime,325300000,389800000,387300000,62100000
employeeBenefits,134600000,181800000,188400000,53800000
employeeRelated,5600000,11000000,10000000,4400000
salariesWagesBenefits,572500000,710100000,716000000,143500000
trainOperations,65500000,97800000,96200000,30700000
fuelPowerUtilities,52200000,89400000,83300000,31100000
materials,33500000,44100000,44100000,10600000
facilityCommunicationOffice,51100000,63500000,62300000,11200000
advertisingAndSales,10300000,25900000,24600000,14400000
casualtyAndOtherClaims,15700000,14800000,8400000,-7400000
professionalFeesDataProcessing,55700000,65000000,61000000,5300000
allOtherExpense,55100000,64000000,73800000,18800000
transferToCapitalAncillary,-48700000,-55100000,-50800000,-2100000
totalExpense,862900000,1119400000,1119100000,256100000.00000003
adjustedOperatingEarnings,-366200000,-266700000,-271900000,94300000
opebSAndPension,12600000,11600000,10800000,-1900000
projectRelatedRevenueExpense,-39600000,-36300000,-46500000,-6900000
depreciation,-319600000,-310700000,-300100000,19500000
officeOfInspectorGeneral,-7600000,-8400000,-8000000,-400000
stateCapitalPaymentAmortization,45100000,46700000,46900000,1800000
nonOperatingIncOr,-7500000,-6600000,-9500000,-2000000
netIncomeOr,-682800000,-570300000,-578300000,104500000
