priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,2423000,6450000,6385000,3962000,164000,-65000
stateSupported,3230000,7655000,7073000,3843000,119000,-582000
longDistance,1350000,2581000,2527000,1177000,87000,-54000
totalRidership,7002000,16686000,15985000,8982000,128000,-701000
rasm,14810,16870,20880,6000,41000,4019.9999999999995
casm,28090,23550,28920,1000,3000,-5370
costRecoveryRatio,52700,71600,72200,,,600
customerSatisfactionIndex,83600,80900,81300,,,400
seatMiles,5560200,9021100,7548300,1988000,36000,-1472800
passengerMiles,1665300,3465200,3381000,1716000,103000,-84200
trainMiles,16800,27500,24100,7000,44000,-3400
