priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,494500000,1221500000,1245500000,751000000
foodBeverage,12100000,29100000,29500000,17400000
stateSupportedTrainRevenue,280500000,251300000,250700000,-29700000
subtotalPassengerRelatedRevenue,787000000,1501900000,1525700000,738700000
otherCoreRevenue,221300000,237800000,238000000,16700000
ancillaryRevenue,253800000,274300000,279700000,25900000
totalRevenue,1262100000,2014000000,2043400000,781300000
salariesWagesBenefits,1379500000,1712900000,1703600000,324000000
trainOperations,153300000,215500000,214200000,60800000
fuelPowerUtilities,128100000,211700000,211400000,83300000
materials,82600000,110800000,122600000,40000000
facilityCommunicationOffice,124000000,148800000,149600000,25600000
advertisingAndSales,34600000,60300000,60900000,26300000
casualtyAndOtherClaims,55700000,41700000,67900000,12200000
professionalFeesDataProcessing,141500000,154400000,154600000,13100000
allOtherExpense,143000000,191300000,224700000,81700000
transferToCapitalAncillary,-128600000,-133600000,-141500000,-12900000
totalExpense,2113600000,2713900000,2767900000,654300000
adjustedOperatingEarnings,-851500000,-700000000,-724500000,127000000
opebSAndPension,26000000,23100000,21100000,-4900000
projectRelatedRevenueExpense,-100300000,-112200000,-122100000,-21800000
depreciation,-710300000,-684400000,-678300000,32000000
officeOfInspectorGeneral,-17200000,-18500000,-18400000,-1100000
stateCapitalPaymentAmortization,103700000,106800000,106800000,3200000
nonOperatingIncOr,-18500000,-19400000,1400000,19900000
netIncomeOr,-1568300000,-1404700000,-1414000000,154300000
