priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
engineering,294700000,261800000,267500000,-27200000,-9,5600000
mechanical,135600000,139500000,140800000,5100000,4,1300000
operations,4300000,10400000,11100000,6800000,157,700000
totalOperations,434600000,411700000,419300000,-15300000,-4,7600000
it,42900000,59700000,51000000,8100000,19,-8700000
commericalMarketing,300000,100000,100000,-200000,-53,0
ada,51400000,42500000,42300000,-9200000,-18,-200000
realEstateStationsFacilities,54600000,65700000,66200000,11600000,21,500000
apdEmergencyManagement,1400000,5300000,5200000,3700000,262,-100000
safety,900000,3100000,2800000,1900000,224,-300000
enviromental,4500000,4300000,4200000,-300000,-6,-100000
procurement,1100000,1500000,1000000,-100000,-5,-400000
newAcela,119500000,119800000,115800000,-3700000,-3,-4000000
gateway,9700000,18200000,39700000,30000000,309,21500000
planningStrategy,49300000,49100000,49200000,-100000,0,100000
bPTunnel,1400000,18500000,17600000,16200000,0,-900000
intercityTrainsets,100000,147400000,147300000,147200000,0,-200000
otherOvhdAdjustment,-3300000,1300000,5300000,8700000,259,4099999.9999999995
totalCapitalSpend,768300000,948200000,967100000,198800000,26,18900000
