priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,1146000,4054000,3790000,2645000,231000,-264000
stateSupported,1679000,4893000,4309000,2630000,157000,-584000
longDistance,691000,1602000,1583000,892000,129000,-18000
totalRidership,3516000,10549000,9683000,6167000,175000,-867000
rasm,13000,16390,19120,6000,47000,2730
casm,27560,23170,27120,0,-2000,-3960
costRecoveryRatio,47200,70800,70500,,,-300
customerSatisfactionIndex,84300,81300,81600,,,300
seatMiles,3559800,5853300,5008200,1448000,41000,-845000
passengerMiles,832700,2143800,2040900,1208000,145000,-102900
trainMiles,10600,18100,16200,6000,52000,-1900
