priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,236400000,710500000,730600000,494200000
foodBeverage,5500000,17400000,17000000,11500000
stateSupportedTrainRevenue,197400000,176100000,175700000,-21600000
subtotalPassengerRelatedRevenue,439200000,904000000,923300000,484000000
otherCoreRevenue,143300000,157600000,158900000,15600000
ancillaryRevenue,157800000,173100000,174400000,16600000.000000002
totalRevenue,740300000,1234600000,1256600000,516200000.00000006
salaries,161900000,197700000,202800000,41000000
wagesOvertime,477900000,570100000,569800000,91900000
employeeBenefits,209900000,291500000,292700000,82700000
employeeRelated,9400000,16000000,15500000,6100000
salariesWagesBenefits,859100000,1075300000,1080800000,221600000
trainOperations,101600000,142000000,142100000,40600000
fuelPowerUtilities,83500000,129100000,129000000,45500000
materials,48300000,70900000,70400000,22100000
facilityCommunicationOffice,80900000,94400000,94000000,13100000
advertisingAndSales,17000000,36700000,37000000,20000000
casualtyAndOtherClaims,28900000,27200000,31200000,2300000
professionalFeesDataProcessing,91700000,98100000,96300000,4600000
allOtherExpense,92200000,113200000,123300000,31100000
transferToCapitalAncillary,-74400000,-81000000,-85000000,-10600000
totalExpense,1328600000,1706100000,1719100000,390400000
adjustedOperatingEarnings,-588300000,-471400000,-462500000,125800000
opebSAndPension,17700000,16600000.000000002,15400000,-2300000
projectRelatedRevenueExpense,-59300000,-67400000,-75200000,-15900000
depreciation,-477900000,-458200000,-452600000,25300000
officeOfInspectorGeneral,-11300000,-11900000,-12400000,-1000000
stateCapitalPaymentAmortization,68300000,70500000,71900000,3600000
nonOperatingIncOr,-11400000,-12500000,-15200000,-3800000
netIncomeOr,-1062200000,-934400000,-930600000,131600000
