operatingRevenue,operatingExpenses,adjustedEarnings,ridership,seatMiles,passengerMiles,averageLoadFactor,onTimePerformance,trainMiles,frequencies
acela,132300000.00000001,158900000,-26600000,865600,317900000,172400000,,,47000000
regional,248400000,268200000,-19900000,2924800,969100000,524500000,,,52000000
necSpecialTrainsAdjustments,2900000,4400000,-1500000,0,1800000,0,,,0
nec,383500000,431500000,-48000000,3790500,1288800000,696900000,,,51000000
ethanAllenExpress,1200000,2800000,-1600000,22000,11100000,1200000,,,11000000
vermonter,4500000,4700000,-200000,38900,25900000,4400000,,,17000000
mapleLeaf,15900000,19100000,-3200000,173000,117200000,32500000,,,28000000
theDowneaster,8400000,9200000,-900000,178600,76100000,15600000,,,20000000
newHavenSpringfield,0,10500000,16600000.000000002,-6000,147500000,49100000,,,8500000
keystoneService,16000000,35000000,-19000000,347700,109400000,23700000,,,20000000
empireService,27700000,37200000,-9500000,455000,143100000,73900000,,,50000000
chicagoStLouis,18200000,19500000,-1300000,209800,115000000,39100000,,,35000000
hiawathas,9700000,11600000,-1900000,199000,39700000,16000000,,,34000000
wolverines,16800000,20200000,-3400000,157600,83400000,34500000,,,41000000
illini,10200000,8199999.999999999,2000000,120000,79100000,19400000,,,27000000
illinoisZephyr,9000000,7500000,1500000,63000,37900000,10400000,,,27000000
heartlandFlyer,3500000,4000000,-500000,26800,12900000,4900000,,,37000000
pacificSurfliner,46100000,55300000,-9200000,657300,325100000,64900000.00000001,,,19000000
cascades,17900000,20700000,-2800000,163800,59200000,25400000,,,38000000
capitols,24200000,27400000,-3100000,288600,123600000,21700000,,,16000000
sanJoaquins,38300000,42400000,-4099999.9999999995,310700,257899999.99999997,45400000,,,17000000
adirondack,900000,1000000,-100000,0,0,0,,,0
blueWater,6700000,7700000,-1100000,62000,39100000,12000000,,,30000000
washingtonLynchburg,4800000,5500000,-700000,83500,37900000,12000000,,,31000000
washingtonNewportNews,0,6400000,8500000,-2100,104700000,42400000,,,13200000
washingtonNorfolk,0,7500000,9500000,-2000,99800000,65200000,,,13500000
washingtonRichmond,0,4400000,3300000,1100,28500000,18800000,,,2400000
hoosierState,0,0,0,0,0,0,,,0
kansasCityStLouis,6100000,5800000,300000,53200,33000000,10100000,,,34000000
pennsylvanian,7200000,9900000,-2700000,78300,37900000,16500000,,,43000000
gulfCoastLimited,0,0,0,0,0,0,,,0
pereMarquette,3500000,5300000,-1800000,34200,13000000,5200000,,,41000000
carolinian,9700000,10200000,-500000,111800,62700000,23700000,,,39000000
piedmont,4500000,4500000,0,93800,30800000,11100000,,,34000000
nonNecSpecialTrainsAdjustments,700000,8300000.000000001,-7600000,0,2800000,0,,,0
stateSupported,340600000,420800000,-80300000,4308700,2049199999.9999998,561300000,,,27000000
silverStar,20400000,48500000,-28100000,174700,156800000,80600000,,,49000000
cardinal,3600000,12400000,-8800000,38000,26600000,13000000,,,44000000
silverMeteor,11100000,22600000,-11500000,79200,76000000,41800000,,,51000000
empireBuilder,17900000,51500000,-33600000,128500,196000000,80800000,,,40000000
capitolLimited,6900000,17600000,-10700000,66400,50100000,28600000,,,57000000
californiaZephyr,23300000,55900000,-32600000,145500,180200000,89400000,,,48000000
southwestChief,17500000,46500000,-29000000,93900,158400000,80900000,,,51000000
cityOfNewOrleans,6600000,19300000,-12700000,74100,72600000,28600000,,,36000000
texasEagle,9900000,24800000,-14800000,107900,80400000,52200000,,,61000000
sunsetLimited,5000000,25100000,-20100000,33100,77900000,24200000,,,31000000
coastStarlight,17700000,40700000,-23000000,143100,127000000,62900000,,,47000000
lakeShoreLimited,12400000,31500000,-19100000,135400,106400000,53700000,,,47000000
palmetto,10700000,20000000,-9300000,125400,77500000,28700000,,,36000000
crescent,12900000,31600000,-18800000,101400,100500000,40100000,,,39000000
autoTrain,57700000,45300000,12400000,136800,183500000,77200000,,,43000000
longDistanceAdjustments,0,12700000,-12700000,0,0,0,,,0
longDistance,233700000,506100000,-272400000,1583300,1670200000,782700000,,,45000000
ancillary,173300000,169200000,4099999.9999999995,0,3000000,,,,
infrastructure,125500000,191500000,-66000000,4000,315116100000,,,,
amtrak,1256600000,1719100000,-462500000,9682600,5008200000,2040900000,,,39000000
