priorYear,currentYearForecast,currentYearActual,growthInDollars,growthInPercent,actualVSForecastInDollars,actualVSForecastInPercent
infrastructureServices,394900000,415600000,398500000,3700000,1,-17100000
mechanical,177600000,234500000,188100000,10500000,6,-46400000
otherOperations,6200000,124000000,1000000,3900000,7.7,13900000
totalOperations,578700000,664100000,600400000,21800000,4,-63600000
digitalTechnologyInnovation,58500000,42000000,8000000,3300000,24.8,83300000
commericalMarketing,300000,100000,100000,-200000,-53,0
ada,65599999.99999999,-5000000,6000000,2400000,-3.1,62400000
realEstateStationsFacilities,69500000,22000000,8000000,4600000,15.1,84600000
apdEmergencyManagement,1700000,8500000,8700000,7000000,418,200000
safety,1400000,6600000,7600000,6200000,431,1000000
enviromental,7900000,5200000,4900000,-2900000,-37,-300000
procurement,1800000,2800000,2100000,300000,18,-700000
newAcela,160800000,141400000,137200000,-23600000,-15,-4200000
gateway,15400000,270000000,5000000,7100000,41.7,57100000
planningStrategy,61700000,-9000000,5000000,6000000,-5.7,56000000
bPTunnel,3300000,664000000,2000000,4900000,21.6,24900000
intercityTrainsets,800000,150100000,149800000,149000000,0,-400000
otherOvhdAdjustment,-3300000,5500000,5500000,8800000,264,0
totalCapitalSpend,1023900000,1408200000,1284600000,260700000,25,123600000
