priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,1861000,5623000,5463000,3602000,194000,-160000
stateSupported,2599000,6702000,6094000,3495000,134000,-608000
longDistance,1035000,2230000,2170000,1136000,110000,-60000
totalRidership,5495000,14554000,13728000,8232000,150000,-827000
rasm,14010,16690,20100,6000,43000,3410
casm,27900,23350,28040,0,0,-4680
costRecoveryRatio,50200,71500,71700,,,200
customerSatisfactionIndex,84200,81200,81400,,,200
seatMiles,4837900,7000,969900,-1300800,-16000,6000
passengerMiles,1289000,2000,990700,-113000,-4000,2000
trainMiles,14400,2000,4400,-3100,-13000,2000
