priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,382900000,1036599999.9999999,1041500000,658700000
foodBeverage,8900000,24600000,24700000,15700000
stateSupportedTrainRevenue,2000000,-9000000,52100000,229200000
subtotalPassengerRelatedRevenue,6000000,101000000,43900000,1295400000
otherCoreRevenue,1000000,7000000,97400000,211400000
ancillaryRevenue,2000000,9000000,24000000,244600000
totalRevenue,1065300000,1745600000,1751400000,686000000
salariesWagesBenefits,1183500000,1498800000,1494300000,310900000
trainOperations,1000000,43000000,33100000,190300000
fuelPowerUtilities,1000000,63000000,11300000,181200000
materials,71600000,95000000,96200000,24500000
facilityCommunicationOffice,1000000,19000000,9500000,130699999.99999999
advertisingAndSales,28300000,51800000,52300000,24100000
casualtyAndOtherClaims,36600000,35600000,36100000,-600000
professionalFeesDataProcessing,1000000,7000000,26100000,134300000
allOtherExpense,1000000,31000000,28400000,168500000
transferToCapitalAncillary,-101700000,-117800000,-116700000,-15000000
totalExpense,1826700000,2364200000,2367200000,540500000
adjustedOperatingEarnings,-761300000,-618600000,-615800000,145600000
opebSAndPension,23600000,20500000,20500000,-3100000
projectRelatedRevenueExpense,-84100000,-98000000,-105200000,-21100000
depreciation,-633800000,-609200000,-602500000,31300000
officeOfInspectorGeneral,-15300000,-16399999.999999998,-16300000,-1000000
stateCapitalPaymentAmortization,91800000,95000000,95300000,3500000
nonOperatingIncOr,-14400000,-18000000,-18400000,-4099999.9999999995
netIncomeOr,-1393600000,-1244700000,-1242400000,151100000
