"",,,,FY 2021 vs Prior Year,,,,,,FY 2021 vs Aug Forecast
"",,Prior Year,,Actual,,Y/Y Growth,,,Aug Fcst,Actual Fav/(Unfav) vs Aug Fcst
"($s in Millions)",,YTD Aug FY20,,YTD Aug FY21,$,,%,,YTD Aug FY21,YTD Aug FY21 $ %
Ticket Revenue (Adjusted),$,"1,196.0",$,750.7 $,(445.2),,(37%),$,744.6,$750.7 $6.2 1%
Food & Beverage,,30.0,,20.0,,(9.9),(33%),,17.7,20.0 2.3 13%
State Supported Train Revenue,,309.4,,326.0,,16.6,5%,,324.5,326.0 1.6 0%
Subtotal Passenger Related Revenue,,"1,535.3",,"1,096.8",(438.6),,(29%),,"1,086.7","1,096.8 10.0 1%"
Other Core Revenue,,279.5,,276.6,,(3.0),(1%),,276.5,276.6 0.1 0%
Ancillary Revenue,,318.5,,318.8,,0.3,0%,,320.1,318.8 (1.3) (0%)
Total Revenue,,"2,133.4",,"1,692.2",(441.2),,(21%),,"1,683.4","1,692.2 8.8 1%"
Salaries,,278.0,,310.0,,32.0,12%,,309.9,310.0 (0.1) (0%)
Wages & Overtime,,965.1,,904.5,(60.6),,(6%),,905.1,904.5 0.6 0%
Employee Benefits,,516.7,,488.3,(28.4),,(6%),,491.5,488.3 3.2 1%
Employee Related,,20.5,,19.6,,(0.8),(4%),,19.7,19.6 0.0 0%
"Salaries, Wages & Benefits",,"1,780.2",,"1,722.4",(57.8),,(3%),,"1,726.1","1,722.4 3.7 0%"
Train Operations,,256.2,,194.7,(61.5),,(24%),,196.3,194.7 1.5 1%
"Fuel, Power & Utilities",,201.8,,166.9,(34.8),,(17%),,166.9,166.9 (0.1) (0%)
Materials,,132.9,,102.6,(30.4),,(23%),,106.3,102.6 3.8 4%
"Facility, Communication & Office",,153.2,,156.0,,2.8,2%,,155.1,156.0 (0.9) (1%)
Advertising and Sales,,51.4,,48.4,,(3.0),(6%),,48.1,48.4 (0.2) (0%)
Casualty and Other Claims,,56.8,,64.1,,7.3,13%,,64.4,64.1 0.3 0%
Professional Fees & Data Processing,,186.1,,173.2,(12.9),,(7%),,175.4,173.2 2.2 1%
All Other Expense,,115.7,,175.1,,59.3,51%,,174.2,175.1 (0.9) (1%)
Transfer to Capital & Ancillary,,(157.7),,(158.2),,(0.5),(0%),,(157.5),(158.2) 0.7 0%
Total Expense,,"2,776.6",,"2,645.1",(131.5),,(5%),,"2,655.2","2,645.1 10.1 0%"
Adjusted Operating Earnings,$,(643.3),$,(952.9) $,(309.7),,(48%),$,(971.9),$(952.9) $18.9 2%
OPEB's and Pension,,26.3,,31.7,,5.5,21%,,31.7,31.7 0.0 0%
Project Related Revenue & Expense,,(136.2),,(128.9),,7.4,5%,,(121.9),(128.9) (7.0) (6%)
Depreciation,,(849.4),,(829.6),,19.8,2%,,(843.2),(829.6) 13.6 2%
Office of Inspector General,,(20.2),,(21.4),,(1.2),(6%),,(21.5),(21.4) 0.1 0%
State Capital Payment Amortization,,121.3,,127.5,,6.2,5%,,126.6,127.5 0.9 1%
Non-Operating Inc/(Exp),,50.2,,(21.7),(71.9),,(143%),,(21.7),(21.7) (0.0) (0%)
Net Income/(Loss),$,"(1,451.3)",$,"(1,795.3) $",(344.0),,(24%),$,"(1,821.9)","$(1,795.3) $26.5 1%"
