"",Prior Year,Aug Fcst,Actual,Fav/(Unfav) vs Aug Fcst,Y/Y Growth,
"",YTD Aug FY20,YTD Aug FY21,YTD Aug FY21,"# %","#",%
Key Performance Indicators,,,,,,
Ridership (in thousands):,,,,,,
Northeast Corridor,"5,963","3,744","3,754",10 0%,"(2,209)",(37%)
State Supported,"7,720","4,797","4,836",39 1%,"(2,884)",(37%)
Long Distance,"2,522","1,973","1,985",13 1%,(537),(21%)
Total Ridership,"16,204","10,514","10,576",62 1%,"(5,629)",(35%)
RASM (in cents),17.50,14.29,15.87,1.57 11%,(2),(9%)
CASM (in cents),24.03,27.93,27.44,0.49 2%,3,14%
Cost Recovery Ratio (NTS),72.8%,51.2%,57.8%,6.6 pp,(15.0) pp,
Customer Satisfaction Index (CSI),81.6%,81.8%,81.6%,(0.2) pp,(0.0) pp,
Other Indicators (in millions),,,,,,
Seat Miles,"9,075.2","7,232.9","7,207.1",(25.8) (0%),"(1,868)",(21%)
Passenger Miles,"3,288.2","2,485.1","2,509.6",24.6 1%,(779),(24%)
Train Miles,28.9,22.3,22.3,(0.1) (0%),(7),(23%)
