"",Prior Year,Plan,Actual,Fav/(Unfav) vs Plan,Y/Y Growth,
"",YTD Dec FY21,YTD Dec FY22,YTD Dec FY22,"# %","#",%
Key Performance Indicators,,,,,,
Ridership (in thousands):,,,,,,
Northeast Corridor,576,"2,167","2,185",18 1%,"1,609",279%
State Supported,853,"2,453","2,433",(19) (1%),"1,581",185%
Long Distance,361,859,912,53 6%,551,153%
Total Ridership,"1,790","5,478","5,530",52 1%,"3,740",209%
RASM (in cents),12.59,17.29,19.48,2.18 13%,7,55%
CASM (in cents),25.66,22.41,24.21,(1.81) (8%),(1),(6%)
Cost Recovery Ratio (NTS),49.0%,77.2%,80.4%,3.3 pp,31.4 pp,
Customer Satisfaction Index (CSI),84.1%,81.1%,81.5%,0.5 pp,(2.5) pp,
Other Indicators (in millions),,,,,,
Seat Miles,"1,839.4","2,903.0","2,700.2",(202.7) (7%),861,47%
Passenger Miles,428.6,"1,141.8","1,193.9",52.1 5%,765,179%
Train Miles,5.5,9.0,8.8,(0.2) (2%),3,59%
