YTD Dec FY22,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"343,805","328,881","672,686"
Capital Sources,"77,805","20,432","98,238"
Federal Grants to Amtrak,"23,661","190,413","214,074"
Total Operating and Capital Sources,"445,271","539,727","984,998"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"335,493","488,306","823,799"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","8,312","(159,425)","(151,113)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","109,778","51,421","161,199"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"261,023","198,284","459,307"
Legacy Debt and RRIF Repayments,"19,693",701,"20,394"
"",,,
Remaining Carryover Balance,"$           (170,938)","$           (147,564)","$           (318,503)"
"",,,
Transfers,-,-,-
