"",,,,,,,YTD December FY 2022,,,,
"",,,,,Adjusted,,,,,,
"($s in Millions)",Operating,,Operating,,Operating,Ridership,Seat Miles Passenger Miles,Average,,Train Miles,
"",Revenue,,Expense,,Earnings,(in Thousands),(in Millions) (in Millions),Load Factor,OTP,(in Millions),Frequencies
NEC:,,,,,,,,,,,
Acela.,$76.7,$,74.6,$,2.1,478.4,159.4 95.5,46%,83.0%,0.5,"1,307.0"
Regional,151.9,,132.3,,19.6,"1,706.4",533.4 307.3,54%,80.8%,1.2,"3,281.3"
NEC Special Trains & Adjustments,1.3,,1.9,,(0.6),0.0,0.9 0.0,N/A,N/A,0.0,68.0
NEC,$229.9,$,208.8,$,21.1,"2,184.9",693.7 402.8,52%,81.3%,1.8,"4,656.3"
State Supported:,,,,,,,,,,,
Ethan Allen Express,$0.7,$,1.4,$,(0.7),12.6,5.6 0.7,12%,93.3%,0.0,76.2
Vermonter,2.1,,2.2,,(0.1),23.5,13.6 2.7,19%,85.1%,0.0,73.8
Maple Leaf,5.1,,9.2,,(4.1),95.0,59.0 18.0,32%,83.9%,0.2,382.7
The Downeaster,4.1,,4.3,,(0.2),99.1,37.6 8.4,22%,81.7%,0.1,903.0
New Haven - Springfield,4.8,,8.0,,(3.2),86.2,25.0 5.0,26%,87.7%,0.1,"1,504.8"
Keystone Service,7.1,,15.9,,(8.8),199.2,55.8 13.7,22%,93.2%,0.2,"1,005.1"
Empire Service,16.6,,17.3,,(0.7),264.8,74.3 42.3,53%,92.2%,0.2,"1,167.7"
Chicago-St.Louis,8.6,,8.6,,(0.0),112.5,56.3 20.8,36%,80.1%,0.2,733.0
Hiawathas,5.9,,5.1,,0.7,116.2,22.1 9.3,32%,95.1%,0.1,"1,263.0"
Wolverines,8.0,,8.8,,(0.8),86.0,43.4 18.8,42%,58.8%,0.2,552.0
Illini,5.5,,4.4,,1.1,75.6,50.6 12.2,28%,60.4%,0.1,368.0
ILLINOIS Zephyr,3.4,,3.1,,0.4,35.6,19.7 5.9,29%,89.3%,0.1,366.0
Heartland Flyer,1.7,,1.8,,(0.1),14.6,7.0 2.7,37%,80.8%,0.0,183.0
Pacific Surfliner,22.3,,25.9,,(3.5),349.3,163.4 34.7,19%,81.9%,0.4,"1,848.0"
Cascades,8.6,,9.5,,(0.9),89.9,30.6 14.0,36%,54.5%,0.1,552.0
Capitols,12.1,,12.9,,(0.9),162.5,65.0 12.2,15%,82.4%,0.2,"1,906.0"
San Joaquins,18.8,,20.4,,(1.6),168.1,128.8 24.8,19%,75.0%,0.3,"1,070.0"
Adirondack,0.5,,0.4,,0.1,0.0,0.0 0.0,0%,0.0%,0.0,0.0
Blue Water,3.0,,3.3,,(0.3),35.4,20.9 6.8,32%,66.5%,0.1,184.0
Washington-Lynchburg,2.1,,2.6,,(0.5),48.2,19.5 7.0,35%,81.5%,0.0,67.4
Washington - Newport News,2.8,,5.0,,(2.1),71.3,27.3 9.0,26%,74.1%,0.1,115.3
Washington - Norfolk,2.8,,4.4,,(1.5),56.4,34.1 7.6,20%,74.1%,0.1,125.0
Washington - Richmond,1.0,,1.4,,(0.4),15.0,9.8 1.3,12%,74.1%,0.0,46.1
Hoosier State,-,,-,,-,0.0,0.0 0.0,0%,0.0%,0.0,0.0
Kansas City-St.Louis,3.8,,3.5,,0.4,35.6,22.3 6.5,33%,60.1%,0.1,361.0
Pennsylvanian,3.5,,4.5,,(1.0),45.0,19.4 9.5,48%,63.8%,0.1,146.1
Gulf Coast Limited,-,,0.0,,(0.0),0.0,0.0 0.0,0%,0.0%,0.0,0.0
Pere Marquette,1.5,,2.4,,(0.9),19.8,6.8 3.0,45%,73.0%,0.0,184.0
Carolinian,4.7,,4.7,,(0.0),64.5,34.2 13.7,42%,70.6%,0.1,124.7
Piedmont,2.1,,2.2,,(0.0),51.5,18.1 6.1,32%,73.8%,0.1,544.0
Non Nec Special Trains & Adjustments,0.7,,3.8,,(3.1),0.0,0.7 0.0,N/A,N/A,0.0,207.0
State Supported,$163.9,$,196.7,$,(32.8),"2,433.4","1,070.8 316.8",28%,80.5%,3.4,"16,058.8"
Long Distance:,,,,,,,,,,,
Silver Star,$8.6,$,19.4,$,(10.8),79.0,61.5 33.6,50%,41.6%,0.3,184.0
Cardinal,2.2,,5.7,,(3.6),23.4,14.9 7.8,44%,58.3%,0.1,79.0
Silver Meteor,9.6,,17.6,,(8.0),69.2,63.5 36.0,52%,42.3%,0.3,182.0
Empire Builder,11.1,,27.1,,(16.0),82.3,126.5 51.3,39%,45.6%,0.5,364.0
Capitol Limited,4.5,,9.3,,(4.8),41.4,30.4 17.9,58%,35.0%,0.1,184.0
California Zephyr,13.1,,27.2,,(14.1),73.9,100.0 52.3,49%,47.1%,0.4,182.0
Southwest Chief,10.6,,23.7,,(13.1),56.4,92.3 48.2,52%,44.6%,0.4,184.0
City of New Orleans,3.7,,9.5,,(5.8),41.6,36.4 16.0,39%,79.9%,0.2,182.0
Texas Eagle,5.8,,12.2,,(6.4),63.3,45.0 29.8,58%,66.1%,0.2,184.0
Sunset Limited,2.6,,11.3,,(8.7),18.0,39.4 13.0,33%,40.0%,0.2,77.0
Coast Starlight,11.2,,21.4,,(10.2),87.1,73.1 38.4,48%,54.0%,0.3,184.0
Lake Shore Limited,7.7,,16.1,,(8.4),83.9,65.1 33.6,46%,59.8%,0.2,349.0
Palmetto,5.8,,8.9,,(3.2),64.4,36.6 14.7,37%,71.9%,0.2,184.0
Crescent,8.1,,16.5,,(8.4),61.0,59.3 24.5,41%,56.8%,0.3,182.0
Auto Train,27.6,,21.1,,6.5,66.7,91.9 57.0,63%,24.2%,0.2,178.0
Long Distance Adjustments,0.0,,1.2,,(1.2),N/A,N/A N/A,N/A,N/A,N/A,N/A
Long Distance,$132.1,$,248.3,$,(116.2),911.7,935.8 474.3,48%,50.8%,3.7,"2,879.0"
Ancillary,84.2,,82.4,,1.8,,,,,0.0,3.0
Infrastructure,62.5,,87.6,,(25.1),,,,,2.0,"159,440.6"
Amtrak,$672.7,$,823.8,$,(151.1),"5,530.0","2,700.2 1,193.9",41%,75.9%,8.8,"23,594.1"
