YTD Jul FY21,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"628,059","848,215","1,476,274"
Capital Sources,"585,631","161,575","747,206"
Federal Grants to Amtrak,"2,489,546","2,561,606","5,051,152"
Total Operating and Capital Sources,"3,703,236","3,571,396","7,274,632"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"1,023,552","1,362,701","2,386,252"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(395,493)","(514,486)","(909,978)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","2,679,684","2,208,696","4,888,380"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"1,150,017","705,282","1,855,299"
Legacy Debt and RRIF Repayments,"93,469","49,126","142,595"
"",,,
Remaining Carryover Balance,"$          1,436,198","$          1,454,288","$          2,890,486"
"",,,
Transfers,-,-,-
