"",Prior Year,Jun Fcst,Actual,Fav/(Unfav) vs Jun Fcst,Y/Y Growth,
"",YTD Jun FY20,YTD Jun FY21,YTD Jun FY21,"# %","#",%
Key Performance Indicators,,,,,,
Ridership (in thousands):,,,,,,
Northeast Corridor,"5,664","1,861","2,423",561 30%,"(3,241)",(57%)
State Supported,"7,209","2,599","3,230",631 24%,"(3,979)",(55%)
Long Distance,"2,182","1,035","1,350",315 30%,(832),(38%)
Total Ridership,"15,055","5,495","7,002","1,507 27%","(8,053)",(53%)
RASM (in cents),18.47,14.01,14.81,0.80 6%,(4),(20%)
CASM (in cents),23.62,27.90,28.09,(0.18) (1%),4,19%
Cost Recovery Ratio (NTS),78.2%,50.2%,52.7%,2.5 pp,(25.5) pp,
Customer Satisfaction Index (CSI),82.0%,81.8%,83.3%,1.5 pp,1.3 pp,
Other Indicators (in millions),,,,,,
Seat Miles,"7,721.4","4,837.9","5,560.2",722.4 15%,"(2,161)",(28%)
Passenger Miles,"2,971.5","1,289.0","1,665.3",376.3 29%,"(1,306)",(44%)
Train Miles,24.6,14.4,16.8,2.4 17%,(8),(32%)
