YTD Jun FY21,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"530,792","731,283","1,262,074"
Capital Sources,"314,203","131,705","445,908"
Federal Grants to Amtrak,"2,473,560","2,547,313","5,020,873"
Total Operating and Capital Sources,"3,318,554","3,410,300","6,728,855"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"903,924","1,194,391","2,098,314"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(373,132)","(463,108)","(836,240)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","2,414,631","2,215,910","4,630,541"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"739,557","621,711","1,361,268"
Legacy Debt Repayments,"91,710","46,707","138,417"
"",,,
Remaining Carryover Balance,"$         1,583,364","$         1,547,491","$         3,130,855"
"",,,
Transfers,-,-,-
