"",,FY2022 vs Prior Year,,,,FY 2022 vs Plan,,
"($s in Millions)",Actual,Actual,,Y/Y Growth,Plan,Actual,,Over/(Under) vs Plan
"",YTD Nov FY21,YTD Nov FY22,,$ %,YTD Nov FY22,YTD Nov FY22,,$ %
Engineering,$124.1,$91.5,$,( 32.6) (26%),$1 66.2,$91.5,$,(74.7) (45%)
Mechanical,39.2,51.1,,11.9 30%,73.7,51.1,,(22.7) (31%)
Operations,2.4,3.2,,0.8 32%,7.9,3.2,,(4.6) (59%)
Total Operations,1 65.7,145.8,,(19.9) (12%),247.8,145.8,,(102.0) (41%)
IT,11.6,14.2,,2.6 23%,21.3,14.2,,(7.1) (33%)
Commerical & Marketing,0.3,0.0,,(0.2) (91%),1.1,0.0,,(1.0) (98%)
ADA,16.1,14.4,,(1.7) (11%),27.2,14.4,,(12.9) (47%)
"Real Estate, Stations & Facilities",18.7,30.8,,12.0 64%,30.1,30.8,,0.7 2%
APD &Emergency Management,0.7,1.0,,0.3 49%,1.9,1.0,,(0.9) (46%)
Safety,0.1,1.2,,1.1 N/A,1.9,1.2,,(0.7) (36%)
Enviromental,0.6,1.5,,0.9 134%,2.6,1.5,,(1.1) (42%)
Procurement,0.4,0.2,,(0.2) (55%),1.1,0.2,,(1.0) (85%)
New Acela,19.9,23.1,,3.2 16%,35.5,23.1,,(12.4) (35%)
Gateway,2.8,4.7,,1.9 68%,10.3,4.7,,(5.6) (54%)
Planning & Strategy,6.4,6.6,,0.2 4%,8.2,6.6,,(1.6) (19%)
B&P Tunnel,0.1,3.4,,3.4 N/A,5.1,3.4,,(1.7) (33%)
Intercity Trainsets,-,89.1,,89.1 N/A,93.6,89.1,,(4.5) (5%)
"Other, OVHD Adjustment",-,0.1,,0.1 N/A,0.2,0.1,,(0.1) (63%)
Total Capital Spend,$243.4,$336.1,$,92.7 38%,$487.9,$336.1,$,(151.7) (31%)
