"",,,,,,,YTD November FY 2022,,,,
"",,,,,Adjusted,,Passenger,,,,
"($s in Millions)",Operating,,Operating,,Operating,Ridership,Seat Miles Miles,Average,,Train Miles,
"",Revenue,,Expense,,Earnings,(in Thousands),(in Millions) (in Millions),Load Factor,OTP,(in Millions),Frequencies
NEC:,,,,,,,,,,,
Acela,$52.9,$,49.3,$,3.6,325.5,105.2 64.9,62%,82.2%,0.3,863.0
Regional,106.9,,89.0,,17.9,"1,206.1",355.7 215.4,61%,79.5%,0.8,"2,175.5"
NEC Special Trains & Adjustments,0 .7,,1.2,,(0.5),0.0,0.5 0.0,N/A,N/A,0.0,48.0
NEC,$1 60.5,$,1 39.4,$,21.1,"1,531.6",461.4 280.3,61%,80.0%,1.2,"3,086.5"
State Supported:,,,,,,,,,,,
Ethan Allen Express,$0.6,$,0.7,$,(0.2),8.4,3.7 0.5,12%,93.4%,0.0,50.2
Vermonter,1 .4,,1.5,,(0.1),16.3,9.1 1.8,20%,84.0%,0.0,48.9
Maple Leaf,4 .1,,5.1,,(1.0),62.5,39.2 11.8,30%,83.9%,0.1,253.7
The Downeaster,2 .6,,2.9,,(0.3),70.1,24.3 5.8,24%,77.9%,0.1,599.0
New Haven - Springfield,3 .9,,5.3,,(1.3),57.7,17.0 3.4,20%,85.8%,0.1,991.5
Keystone Service,5 .1,,10.3,,(5.2),133.9,36.8 9.2,25%,92.2%,0.1,663.4
Empire Service,10.9,,12.2,,(1.3),183.1,49.2 28.5,58%,90.2%,0.2,773.7
Chicago-St.Louis,5 .7,,5.6,,0.1,73.7,36.8 13.5,37%,80.4%,0.1,485.0
Hiawathas,3 .9,,3.4,,0.5,77.6,14.6 6.2,43%,93.6%,0.1,836.0
Wolverines,5 .3,,5.7,,(0.4),56.6,28.5 12.3,43%,60.0%,0.1,366.0
Illini,3 .5,,2.7,,0.8,52.8,34.2 8.4,25%,63.8%,0.1,244.0
ILLINOIS Zephyr,2 .4,,1.9,,0.5,23.0,13.0 3.8,30%,86.8%,0.1,242.0
Heartland Flyer,1 .1,,1.2,,(0.1),9.2,4.5 1.7,37%,81.8%,0.0,121.0
Pacific Surfliner,15.7,,17.2,,(1.5),234.9,104.4 23.0,22%,83.7%,0.2,"1,201.0"
