"",,,,FY 2022 vs Prior Year,,,,,,,FY 2022 vs Plan,,
"",,Prior Year,,Actual,,Y/Y Growth,,,Plan,,Actual,,Fav/(Unfav) vs Plan
"($s in Millions)",,YTD Oct FY21,,YTD Oct FY22,$,,%,,YTD Oct FY22,,YTD Oct FY22,,$ %
Ticket Revenue (Adjusted),$,43.7,$,136.3 $,,92.5,212%,$,127.5,$,136.3,$,8.7 7%
Food & Beverage,,0.8,,3.3,,2.4,285%,,3.5,,3.3,,(0.3) (8%)
State Supported Train Revenue,,34.7,,31.0,,(3.7),(11%),,32.4,,31.0,,(1.4) (4%)
Subtotal Passenger Related Revenue,,79.3,,170.5,,91.2,115%,,163.5,,170.5,,7.0 4%
Other Core Revenue,,22.3,,26.2,,3.9,18%,,23.8,,26.2,,2.3 10%
Ancillary Revenue,,26.7,,25.5,,(1.1),(4%),,32.2,,25.5,,(6.7) (21%)
Total Revenue,,128.2,,222.2,,94.0,73%,,219.5,,222.2,,2.7 1%
Salaries,,25.9,,30.6,,4.7,18%,,30.5,,30.6,,(0.1) (0%)
Wages & Overtime,,80.3,,89.0,,8.6,11%,,94.4,,89.0,,5.4 6%
Employee Benefits,,41.2,,42.6,,1.4,3%,,48.6,,42.6,,6.1 12%
Employee Related,,1.3,,2.4,,1.1,88%,,3.3,,2.4,,1.0 29%
"Salaries, Wages & Benefits",,148.7,,164.5,,15.8,11%,,176.9,,164.5,,12.3 7%
Train Operations,,16.7,,23.2,,6.5,39%,,23.6,,23.2,,0.4 2%
"Fuel, Power & Utilities",,13.6,,22.3,,8.7,64%,,21.3,,22.3,,(1.0) (5%)
Materials,,10.0,,11.3,,1.3,13%,,12.8,,11.3,,1.5 11%
"Facility, Communication & Office",,13.9,,15.0,,1.1,8%,,18.5,,15.0,,3.5 19%
Advertising and Sales,,3.6,,6.0,,2.4,68%,,6.9,,6.0,,0.8 12%
Casualty and Other Claims,,3.8,,4.6,,0.9,23%,,5.4,,4.6,,0.8 14%
Professional Fees & Data Processing,,12.6,,12.7,,0.2,1%,,17.5,,12.7,,4.8 27%
All Other Expense,,14.9,,15.6,,0.6,4%,,14.5,,15.6,,(1.1) (7%)
Transfer to Capital & Ancillary,,(14.5),,(13.9),,0.6,4%,,(16.2),,(13.9),,(2.3) (14%)
Total Expense,,223.3,,261.5,,38.2,17%,,281.1,,261.5,,19.6 7%
Adjusted Operating Earnings,$,(95.1),$,(39.3) $,,55.8,59%,$,(61.6),$,(39.3),$,22.3 36%
OPEB's and Pension,,3.1,,2.7,,(0.4),(13%),,3.1,,2.7,,(0.5) (15%)
Project Related Revenue & Expense,,(11.9),,(11.3),,0.6,5%,,(5.1),,(11.3),,(6.2) (120%)
Depreciation,,(78.7),,(74.7),,4.0,5%,,(80.0),,(74.7),,5.3 7%
Office of Inspector General,,(1.9),,(1.9),,(0.1),(4%),,(1.9),,(1.9),,(0.1) (4%)
State Capital Payment Amortization,,11.2,,11.6,,0.4,4%,,11.5,,11.6,,0.1 1%
Non-Operating Inc/(Exp),,(1.7),,(2.3),,(0.6),(38%),,(1.0),,(2.3),,(1.3) (134%)
Net Income/(Loss),$,(175.1),$,(115.3) $,,59.8,34%,$,(135.0),$,(115.3),$,19.7 15%
