"",,,FY2022 vs Prior Year,,,,,,FY 2022 vs Plan,,
"($s in Millions)",,Actual,Actual,,Y/Y Growth,,Plan,,Actual,,Over/(Under) vs Plan
"",,YTD Oct FY21,YTD Oct FY22,,$ %,,YTD Oct FY22,,YTD Oct FY22,,$ %
Engineering,$,65.6,$43.1,$,(22.5) (34%),$,87.3,$,43.1,$,(44.2) (51%)
Mechanical,,21.3,19.4,,(2.0) (9%),,42.4,,19.4,,(23.0) (54%)
Operations,,0.7,0.8,,0.1 16%,,2.9,,0.8,,(2.1) (73%)
Total Operations,,87.6,63.2,,(24.4) (28%),,132.6,,63.2,,(69.4) (52%)
IT,,5.3,7.4,,2.1 40%,,10.8,,7.4,,(3.4) (31%)
Commerical & Marketing,,0.3,-,,(0.3) (100%),,0.5,,-,,(0.5) (100%)
ADA,,5.6,6.5,,0.9 17%,,13.8,,6.5,,(7.3) (53%)
"Real Estate, Stations & Facilities",,8.4,5.9,,(2.5) (30%),,17.0,,5.9,,(11.1) (65%)
APD &Emergency Management,,0.4,0.6,,0.2 58%,,0.9,,0.6,,(0.3) (34%)
Safety,,0.0,0.8,,0.8 N/A,,0.8,,0.8,,0.1 7%
Enviromental,,0.4,0.8,,0.4 105%,,0.7,,0.8,,0.1 13%
Procurement,,0.2,(0.1),,(0.2) (130%),,0.3,,(0.1),,(0.4) (115%)
New Acela,,8.1,9.8,,1.7 21%,,15.7,,9.8,,(5.9) (38%)
Gateway,,1.5,0.7,,(0.8) (53%),,5.0,,0.7,,(4.3) (86%)
Planning & Strategy,,2.5,3.3,,0.8 31%,,4.1,,3.3,,(0.8) (19%)
B&P Tunnel,,0.0,1.9,,1.9 N/A,,2.7,,1.9,,(0.8) (29%)
Intercity Trainsets,,-,88.2,,88.2 N/A,,90.6,,88.2,,(2.4) (3%)
"Other, OVHD Adjustment",,-,0.0,,0.0 N/A,,0.1,,0.0,,(0.1) (64%)
Total Capital Spend,$,120.3,$189.2,$,68.9 57%,$,295.7,$,189.2,$,(106.5) (36%)
