YTD Oct FY22,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"113,698","108,501","222,199"
Capital Sources,"14,742","8,122","22,864"
Federal Grants to Amtrak,"3,375","8,232","11,607"
Total Operating and Capital Sources,"131,816","124,855","256,670"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"106,647","154,846","261,493"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","7,051","(46,345)","(39,294)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","25,168","(29,991)","(4,823)"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"105,218","83,964","189,182"
Legacy Debt and RRIF Repayments,"168,208","49,404","217,613"
"",,,
Remaining Carryover Balance,"$            (248,258)","$            (163,360)","$            (411,618)"
"",,,
Transfers,-,-,-
