"",,,,,,,YTD October FY 2022,,,,7
"",,,,,Adjusted,,Passenger,,,,
"($s in Millions)",Operating,,Operating,,Operating,Ridership,Seat Miles Miles,Average,,Train Miles,
"",Revenue,,Expense,,Earnings,(in Thousands),(in Millions) (in Millions),Load Factor,OTP,(in Millions),Frequencies
NEC:,,,,,,,,,,,
Acela,$25.6,$,23.2,$,2.4,163.8,53.1 32.8,62%,82.5%,0.2,436.0
Regional,49.7,,42.8,,6.9,610.5,178.0 108.5,61%,81.3%,0.4,"1,105.2"
NEC Special Trains & Adjustments,0.3,,0.6,,(0.2),0.0,0.3 0.0,N/A,N/A,0.0,31.0
NEC,$75.7,$,66.6,$,9.1,774.3,231.4 141.3,61%,81.6%,0.6,"1,572.2"
State Supported:,,,,,,,,,,,
Ethan Allen Express,$0.3,$,0.4,$,(0.1),4.2,1.9 0.2,12%,97.8%,0.0,26.0
Vermonter,0.9,,0.8,,0.1,8.3,4.5 1.0,21%,81.7%,0.0,24.9
Maple Leaf,2.2,,2.5,,(0.3),30.4,19.8 5.8,29%,86.9%,0.1,128.9
The Downeaster,1.6,,1.5,,0.1,37.4,13.2 3.3,25%,79.2%,0.0,306.0
New Haven - Springfield,2.0,,2.6,,(0.7),28.1,8.7 1.6,19%,90.4%,0.0,502.8
Keystone Service,3.0,,4.9,,(1.9),64.3,18.7 4.4,23%,92.4%,0.1,337.6
Empire Service,5.8,,6.0,,(0.2),93.3,24.8 14.2,57%,91.6%,0.1,392.1
Chicago-St.Louis,3.1,,2.7,,0.4,36.6,18.5 6.6,36%,78.3%,0.1,245.0
Hiawathas,1.9,,1.6,,0.3,38.6,7.4 3.1,42%,90.9%,0.0,424.0
Wolverines,3.0,,2.8,,0.2,27.8,14.6 6.0,41%,74.4%,0.1,186.0
Illini,1.8,,1.2,,0.7,26.4,17.8 4.1,23%,65.4%,0.0,124.0
ILLINOIS Zephyr,1.4,,1.0,,0.4,10.7,6.6 1.8,27%,85.9%,0.0,122.0
Heartland Flyer,0.5,,0.6,,(0.1),4.5,2.2 0.8,38%,77.4%,0.0,61.0
Pacific Surfliner,7.9,,8.5,,(0.6),103.2,46.6 9.6,21%,82.2%,0.1,579.0
Cascades,4.1,,3.1,,1.0,26.1,10.2 4.1,40%,59.7%,0.1,186.0
Capitols,4.4,,4.2,,0.2,55.0,21.0 4.0,19%,82.6%,0.1,642.0
San Joaquins,6.3,,6.5,,(0.2),51.6,40.5 7.4,18%,82.7%,0.1,340.0
Adirondack,0.0,,0.2,,(0.1),0.0,0.0 0.0,N/A,0.0%,0.0,0.0
Blue Water,1.1,,1.1,,0.1,11.3,7.0 2.1,30%,82.2%,0.0,62.0
Washington-Lynchburg,0.8,,0.9,,(0.1),16.4,6.5 2.4,37%,82.4%,0.0,22.6
Washington - Newport News,0.9,,1.5,,(0.6),23.9,9.2 3.0,33%,73.6%,0.0,38.7
Washington - Norfolk,1.2,,1.4,,(0.2),17.7,11.2 2.4,21%,73.6%,0.0,41.1
Washington - Richmond,0.5,,0.4,,0.1,4.0,3.2 0.4,11%,73.6%,0.0,15.0
Hoosier State,-,,-,,-,0.0,0.0 0.0,N/A,0.0%,0.0,0.0
Kansas City-St.Louis,1.4,,1.1,,0.2,13.6,7.6 2.3,30%,58.6%,0.0,124.0
