YTD Sep FY21,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"833,271","1,099,824","1,933,095"
Capital Sources,"674,553","207,171","881,724"
Federal Grants to Amtrak,"2,500,853","2,595,079","5,095,932"
Total Operating and Capital Sources,"4,008,677","3,902,074","7,910,752"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"1,247,131","1,715,975","2,963,106"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(413,861)","(616,151)","(1,030,011)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","2,761,546","2,186,099","4,947,645"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"1,338,050","869,045","2,207,095"
Legacy Debt and RRIF Repayments,"168,208","49,404","217,613"
"",,,
Remaining Carryover Balance,"$         1,255,288","$         1,267,650","$         2,522,938"
"",,,
Transfers,-,-,-
