"",Prior Year,Plan,Actual,Fav/(Unfav) vs Plan,Y/Y Growth,
"",YTD Apr FY21,YTD Apr FY22,YTD Apr FY22,"# %","#",%
Key Performance Indicators,,,,,,
Ridership (in thousands):,,,,,,
Northeast Corridor,"1,446","4,818","4,572",(246) (5%),"3,126",216%
State Supported,"2,090","5,783","5,171",(612) (11%),"3,081",147%
Long Distance,841,"1,900","1,867",(33) (2%),"1,025",122%
Total Ridership,"4,377","12,501","11,610",(891) (7%),"7,232",165%
RASM (in cents),13.38,16.55,19.75,3.19 19%,6,48%
CASM (in cents),27.75,23.12,27.51,(4.38) (19%),(0),(1%)
Cost Recovery Ratio (NTS),48.2%,71.6%,71.8%,0.2 pp,23.6 pp,
Customer Satisfaction Index (CSI),84.3%,81.2%,81.7%,0.5 pp,(2.6) pp,
Other Indicators (in millions),,,,,,
Seat Miles,"4,175.4","6,893.2","5,814.4","(1,078.8) (16%)","1,639",39%
Passenger Miles,"1,030.5","2,551.7","2,430.5",(121.1) (5%),"1,400",136%
Train Miles,12.4,21.2,18.7,(2.5) (12%),6,50%
