YTD Apr FY22,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"741,765","760,600","1,502,364"
Capital Sources,"222,286","85,312","307,598"
Federal Grants to Amtrak,"374,974","594,118","969,092"
Total Operating and Capital Sources,"1,339,024","1,440,029","2,779,053"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"826,964","1,199,830","2,026,794"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(85,199)","(439,230)","(524,430)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","512,060","240,199","752,259"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"659,281","466,740","1,126,020"
Legacy Debt and RRIF Repayments,"35,469","1,086","36,555"
"",,,
Remaining Carryover Balance,"$           (182,690)","$           (227,626)","$            (410,315)"
"",,,
Transfers,-,-,-
