YTD Feb FY22,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"499,173","524,175","1,023,349"
Capital Sources,"98,630","63,009","161,639"
Federal Grants to Amtrak,"50,062","347,830","397,892"
Total Operating and Capital Sources,"647,865","935,014","1,582,880"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"569,085","824,998","1,394,083"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(69,912)","(300,822)","(370,734)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","78,780","110,017","188,797"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"407,127","343,993","751,120"
Legacy Debt and RRIF Repayments,"24,064",989,"25,053"
"",,,
Remaining Carryover Balance,"$           (352,411)","$           (234,965)","$           (587,376)"
"",,,
Transfers,-,-,-
