"",Prior Year,Plan,Actual,Fav/(Unfav) vs Plan,Y/Y Growth,
"",YTD Jan FY21,YTD Jan FY22,YTD Jan FY22,"# %","#",%
Key Performance Indicators,,,,,,
Ridership (in thousands):,,,,,,
Northeast Corridor,732,"2,763","2,582",(181) (7%),"1,850",253%
State Supported,"1,083","3,283","2,940",(344) (10%),"1,857",172%
Long Distance,463,"1,097","1,122",25 2%,659,142%
Total Ridership,"2,277","7,142","6,643",(499) (7%),"4,366",192%
RASM (in cents),12.60,16.70,18.62,1.92 12%,6,48%
CASM (in cents),25.81,22.72,25.32,(2.60) (11%),(0),(2%)
Cost Recovery Ratio (NTS),48.8%,73.5%,73.5%,0.0 pp,24.7 pp,
Customer Satisfaction Index (CSI),84.5%,81.4%,81.8%,0.4 pp,(2.7) pp,
Other Indicators (in millions),,,,,,
Seat Miles,"2,437.7","3,898.5","3,504.4",(394.1) (10%),"1,067",44%
Passenger Miles,548.4,"1,465.6","1,444.6",(21.0) (1%),896,163%
Train Miles,7.3,12.1,11.4,(0.7) (6%),4,56%
