YTD Jan FY22,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"414,186","432,963","847,150"
Capital Sources,"81,045","50,081","131,126"
Federal Grants to Amtrak,"32,578","275,740","308,318"
Total Operating and Capital Sources,"527,809","758,785","1,286,594"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"454,548","664,502","1,119,050"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(40,362)","(231,539)","(271,901)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","73,261","94,283","167,544"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"339,745","291,540","631,285"
Legacy Debt and RRIF Repayments,"21,514",759,"22,273"
"",,,
Remaining Carryover Balance,"$           (287,998)","$           (198,016)","$           (486,014)"
"",,,
Transfers,-,-,-
