"",Prior Year,Plan,Actual,Fav/(Unfav) vs Plan,Y/Y Growth,
"",YTD Jun FY21,YTD Jun FY22,YTD Jun FY22,"# %","#",%
Key Performance Indicators,,,,,,
Ridership (in thousands):,,,,,,
Northeast Corridor,"2,423","6,450","6,385",(65) (1%),"3,962",164%
State Supported,"3,230","7,655","7,073",(582) (8%),"3,843",119%
Long Distance,"1,350","2,581","2,527",(54) (2%),"1,177",87%
Total Ridership,"7,002","16,686","15,985",(701) (4%),"8,982",128%
RASM (in cents),14.81,16.87,20.88,4.02 24%,6,41%
CASM (in cents),28.09,23.55,28.92,(5.37) (23%),1,3%
Cost Recovery Ratio (NTS),52.7%,71.6%,72.2%,0.6 pp,19.5 pp,
Customer Satisfaction Index (CSI),83.6%,80.9%,81.3%,0.4 pp,(2.3) pp,
Other Indicators (in millions),,,,,,
Seat Miles,"5,560.2","9,021.1","7,548.3","(1,472.8) (16%)","1,988",36%
Passenger Miles,"1,665.3","3,465.2","3,381.0",(84.2) (2%),"1,716",103%
Train Miles,16.8,27.5,24.1,(3.4) (12%),7,44%
