"",,,,,,,,,,,,3
"",,,,FY 2022 vs Prior Year,,,,,,,FY 2022 vs Mar Fcst,
"",,Prior Year,,Actual,,Y/Y Growth,,,Mar Fcst,,Actual Fav/(Unfav) vs Mar Fcst,
"($s in Millions)",,YTD Mar FY21,,YTD Mar FY22,$,,%,,YTD Mar FY22,,YTD Mar FY22,$ %
Ticket Revenue (Adjusted),$,236.4,$,730.6 $,494.2,,209%,$,710.5,$,730.6 $,20.1 3%
Food & Beverage,,5.5,,17.0,,11.5,211%,,17.4,,17.0,(0.4) (3%)
State Supported Train Revenue,,197.4,,175.7,(21.6),,(11%),,176.1,,175.7,(0.4) (0%)
Subtotal Passenger Related Revenue,,439.2,,923.3,484.0,,110%,,904.0,,923.3,19.3 2%
Other Core Revenue,,143.3,,158.9,,15.6,11%,,157.6,,158.9,1.3 1%
Ancillary Revenue,,157.8,,174.4,,16.6,11%,,173.1,,174.4,1.3 1%
Total Revenue,,740.3,,"1,256.6",516.2,,70%,,"1,234.6",,"1,256.6",21.9 2%
Salaries,,161.9,,202.8,,41.0,25%,,197.7,,202.8,(5.1) (3%)
Wages & Overtime,,477.9,,569.8,,91.9,19%,,570.1,,569.8,0.4 0%
Employee Benefits,,209.9,,292.7,,82.7,39%,,291.5,,292.7,(1.2) (0%)
Employee Related,,9.4,,15.5,,6.1,65%,,16.0,,15.5,0.5 3%
"Salaries, Wages & Benefits",,859.1,,"1,080.8",221.6,,26%,,"1,075.3",,"1,080.8",(5.5) (1%)
Train Operations,,101.6,,142.1,,40.6,40%,,142.0,,142.1,(0.2) (0%)
"Fuel, Power & Utilities",,83.5,,129.0,,45.5,55%,,129.1,,129.0,0.1 0%
Materials,,48.3,,70.4,,22.1,46%,,70.9,,70.4,0.5 1%
"Facility, Communication & Office",,80.9,,94.0,,13.1,16%,,94.4,,94.0,0.4 0%
Advertising and Sales,,17.0,,37.0,,20.0,118%,,36.7,,37.0,(0.2) (1%)
Casualty and Other Claims,,28.9,,31.2,,2.3,8%,,27.2,,31.2,(4.0) (15%)
Professional Fees & Data Processing,,91.7,,96.3,,4.6,5%,,98.1,,96.3,1.9 2%
All Other Expense,,92.2,,123.3,,31.1,34%,,113.2,,123.3,(10.1) (9%)
Transfer to Capital & Ancillary,,(74.4),,(85.0),(10.6),,(14%),,(81.0),,(85.0),4.0 5%
Total Expense,,"1,328.6",,"1,719.1",390.4,,29%,,"1,706.1",,"1,719.1",(13.0) (1%)
Adjusted Operating Earnings,$,(588.3),$,(462.5) $,125.8,,21%,$,(471.4),$,(462.5) $,8.9 2%
OPEB's and Pension,,17.7,,15.4,,(2.3),(13%),,16.6,,15.4,(1.2) (7%)
Project Related Revenue & Expense,,(59.3),,(75.2),(15.9),,(27%),,(67.4),,(75.2),(7.8) (12%)
Depreciation,,(477.9),,(452.6),,25.3,5%,,(458.2),,(452.6),5.5 1%
Office of Inspector General,,(11.3),,(12.4),,(1.0),(9%),,(11.9),,(12.4),(0.4) (4%)
State Capital Payment Amortization,,68.3,,71.9,,3.6,5%,,70.5,,71.9,1.4 2%
Non-Operating Inc/(Exp),,(11.4),,(15.2),,(3.8),(33%),,(12.5),,(15.2),(2.7) (21%)
Net Income/(Loss),$,"(1,062.2)",$,(930.6) $,131.6,,12%,$,(934.4),$,(930.6) $,3.8 0%
