"",Prior Year,Plan,Actual,Fav/(Unfav) vs Plan,Y/Y Growth,
"",YTD Mar FY21,YTD Mar FY22,YTD Mar FY22,"# %","#",%
Key Performance Indicators,,,,,,
Ridership (in thousands):,,,,,,
Northeast Corridor,"1,146","4,054","3,790",(264) (7%),"2,645",231%
State Supported,"1,679","4,893","4,309",(584) (12%),"2,630",157%
Long Distance,691,"1,602","1,583",(18) (1%),892,129%
Total Ridership,"3,516","10,549","9,683",(867) (8%),"6,167",175%
RASM (in cents),13.00,16.39,19.12,2.73 17%,6,47%
CASM (in cents),27.56,23.17,27.12,(3.96) (17%),(0),(2%)
Cost Recovery Ratio (NTS),47.2%,70.8%,70.5%,(0.3) pp,23.3 pp,
Customer Satisfaction Index (CSI),84.3%,81.3%,81.6%,0.3 pp,(2.7) pp,
Other Indicators (in millions),,,,,,
Seat Miles,"3,559.8","5,853.3","5,008.2",(845.0) (14%),"1,448",41%
Passenger Miles,832.7,"2,143.8","2,040.9",(102.9) (5%),"1,208",145%
Train Miles,10.6,18.1,16.2,(1.9) (11%),6,52%
