YTD Mar FY22,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"613,473","643,099","1,256,572"
Capital Sources,"175,979","70,749","246,728"
Federal Grants to Amtrak,"352,953","573,350","926,303"
Total Operating and Capital Sources,"1,142,405","1,287,198","2,429,603"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"699,165","1,019,909","1,719,074"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(85,691)","(376,810)","(462,502)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","443,241","267,289","710,529"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"562,244","404,872","967,116"
Legacy Debt and RRIF Repayments,"34,902","1,037","35,939"
"",,,
Remaining Carryover Balance,"$           (153,906)","$           (138,620)","$           (292,526)"
"",,,
Transfers,-,-,-
